Batch	scan006
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	16/11/2022 09:48:22AM
nm	A
300.00	2.662
301.00	2.634
302.00	2.616
303.00	2.586
304.00	2.558
305.00	2.553
306.00	2.517
307.00	2.494
308.00	2.470
309.00	2.453
310.00	2.432
311.00	2.405
312.00	2.376
313.00	2.352
314.00	2.329
315.00	2.311
316.00	2.273
317.00	2.260
318.00	2.236
319.00	2.211
320.00	2.186
321.00	2.161
322.00	2.141
323.00	2.117
324.00	2.084
325.00	2.048
326.00	2.017
327.00	1.990
328.00	1.963
329.00	1.939
330.00	1.914
331.00	1.883
332.00	1.854
333.00	1.828
334.00	1.799
335.00	1.775
336.00	1.749
337.00	1.721
338.00	1.692
339.00	1.666
340.00	1.640
341.00	1.611
342.00	1.590
343.00	1.563
344.00	1.538
345.00	1.514
346.00	1.490
347.00	1.464
348.00	1.443
349.00	1.419
350.00	1.396
351.00	1.371
352.00	1.354
353.00	1.329
354.00	1.311
355.00	1.292
356.00	1.270
357.00	1.250
358.00	1.229
359.00	1.215
360.00	1.198
361.00	1.183
362.00	1.168
363.00	1.155
364.00	1.138
365.00	1.126
366.00	1.114
367.00	1.102
368.00	1.091
369.00	1.080
370.00	1.068
371.00	1.057
372.00	1.046
373.00	1.036
374.00	1.028
375.00	1.017
376.00	1.005
377.00	0.998
378.00	0.991
379.00	0.982
380.00	0.974
381.00	0.968
382.00	0.960
383.00	0.953
384.00	0.945
385.00	0.935
386.00	0.931
387.00	0.923
388.00	0.917
389.00	0.910
390.00	0.902
391.00	0.898
392.00	0.892
393.00	0.885
394.00	0.882
395.00	0.878
396.00	0.871
397.00	0.868
398.00	0.862
399.00	0.858
400.00	0.852
401.00	0.851
402.00	0.846
403.00	0.841
404.00	0.838
405.00	0.834
406.00	0.832
407.00	0.828
408.00	0.823
409.00	0.824
410.00	0.817
411.00	0.817
412.00	0.814
413.00	0.813
414.00	0.806
415.00	0.806
416.00	0.804
417.00	0.802
418.00	0.800
419.00	0.798
420.00	0.796
421.00	0.792
422.00	0.793
423.00	0.792
424.00	0.789
425.00	0.790
426.00	0.788
427.00	0.787
428.00	0.785
429.00	0.784
430.00	0.785
431.00	0.784
432.00	0.785
433.00	0.783
434.00	0.781
435.00	0.782
436.00	0.783
437.00	0.781
438.00	0.780
439.00	0.781
440.00	0.784
441.00	0.782
442.00	0.783
443.00	0.783
444.00	0.786
445.00	0.784
446.00	0.786
447.00	0.788
448.00	0.789
449.00	0.789
450.00	0.792
451.00	0.794
452.00	0.794
453.00	0.797
454.00	0.800
455.00	0.801
456.00	0.802
457.00	0.807
458.00	0.808
459.00	0.811
460.00	0.814
461.00	0.817
462.00	0.819
463.00	0.823
464.00	0.826
465.00	0.827
466.00	0.833
467.00	0.836
468.00	0.840
469.00	0.843
470.00	0.846
471.00	0.852
472.00	0.857
473.00	0.861
474.00	0.865
475.00	0.870
476.00	0.875
477.00	0.878
478.00	0.886
479.00	0.888
480.00	0.893
481.00	0.897
482.00	0.904
483.00	0.908
484.00	0.915
485.00	0.918
486.00	0.924
487.00	0.931
488.00	0.931
489.00	0.939
490.00	0.944
491.00	0.948
492.00	0.952
493.00	0.957
494.00	0.961
495.00	0.967
496.00	0.971
497.00	0.973
498.00	0.978
499.00	0.980
500.00	0.984
501.00	0.985
502.00	0.988
503.00	0.990
504.00	0.993
505.00	0.996
506.00	0.997
507.00	0.996
508.00	0.997
509.00	0.999
510.00	0.998
511.00	0.999
512.00	0.999
513.00	0.999
514.00	0.998
515.00	0.995
516.00	0.992
517.00	0.990
518.00	0.990
519.00	0.985
520.00	0.984
521.00	0.981
522.00	0.976
523.00	0.972
524.00	0.968
525.00	0.964
526.00	0.960
527.00	0.953
528.00	0.946
529.00	0.941
530.00	0.932
531.00	0.927
532.00	0.919
533.00	0.911
534.00	0.904
535.00	0.896
536.00	0.885
537.00	0.876
538.00	0.868
539.00	0.857
540.00	0.850
541.00	0.840
542.00	0.830
543.00	0.820
