Batch	scan005.sre
UV540 113302	None
beetroot02 Cycle01	08/11/2022 15:56:21PM
nm	A
200.00	3.652
201.00	3.335
202.00	3.496
203.00	3.650
204.00	3.785
205.00	3.567
206.00	3.762
207.00	3.979
208.00	3.658
209.00	3.662
210.00	3.680
211.00	3.664
212.00	3.752
213.00	3.762
214.00	3.830
215.00	3.750
216.00	3.754
217.00	3.721
218.00	3.592
219.00	3.620
220.00	3.708
221.00	3.690
222.00	3.745
223.00	3.750
224.00	3.660
225.00	3.611
226.00	3.640
227.00	3.666
228.00	3.693
229.00	3.678
230.00	3.631
231.00	3.611
232.00	3.567
233.00	3.489
234.00	3.453
235.00	3.377
236.00	3.300
237.00	3.182
238.00	3.101
239.00	3.029
240.00	2.953
241.00	2.891
242.00	2.833
243.00	2.797
244.00	2.757
245.00	2.721
246.00	2.692
247.00	2.664
248.00	2.637
249.00	2.613
250.00	2.589
251.00	2.574
252.00	2.560
253.00	2.536
254.00	2.522
255.00	2.503
256.00	2.489
257.00	2.473
258.00	2.464
259.00	2.456
260.00	2.446
261.00	2.435
262.00	2.432
263.00	2.424
264.00	2.417
265.00	2.411
266.00	2.409
267.00	2.412
268.00	2.413
269.00	2.410
270.00	2.404
271.00	2.387
272.00	2.366
273.00	2.339
274.00	2.311
275.00	2.288
276.00	2.275
277.00	2.264
278.00	2.256
279.00	2.238
280.00	2.208
281.00	2.171
282.00	2.137
283.00	2.103
284.00	2.073
285.00	2.042
286.00	2.018
287.00	1.992
288.00	1.970
289.00	1.941
290.00	1.917
291.00	1.891
292.00	1.867
293.00	1.842
294.00	1.823
295.00	1.805
296.00	1.789
297.00	1.776
298.00	1.762
299.00	1.752
300.00	1.740
301.00	1.731
302.00	1.721
303.00	1.713
304.00	1.705
305.00	1.694
306.00	1.684
307.00	1.670
308.00	1.658
309.00	1.643
310.00	1.626
311.00	1.610
312.00	1.594
313.00	1.578
314.00	1.563
315.00	1.550
316.00	1.532
317.00	1.518
318.00	1.505
319.00	1.488
320.00	1.474
321.00	1.456
322.00	1.439
323.00	1.424
324.00	1.405
325.00	1.382
326.00	1.363
327.00	1.340
328.00	1.319
329.00	1.295
330.00	1.272
331.00	1.250
332.00	1.226
333.00	1.201
334.00	1.181
335.00	1.155
336.00	1.130
337.00	1.104
338.00	1.081
339.00	1.054
340.00	1.027
341.00	1.003
342.00	0.977
343.00	0.954
344.00	0.929
345.00	0.902
346.00	0.878
347.00	0.852
348.00	0.830
349.00	0.803
350.00	0.778
351.00	0.757
352.00	0.738
353.00	0.715
354.00	0.694
355.00	0.671
356.00	0.654
357.00	0.633
358.00	0.616
359.00	0.600
360.00	0.583
361.00	0.567
362.00	0.554
363.00	0.540
364.00	0.527
365.00	0.513
366.00	0.502
367.00	0.491
368.00	0.482
369.00	0.471
370.00	0.460
371.00	0.452
372.00	0.442
373.00	0.435
374.00	0.428
375.00	0.422
376.00	0.415
377.00	0.409
378.00	0.403
379.00	0.399
380.00	0.394
381.00	0.390
382.00	0.385
383.00	0.381
384.00	0.379
385.00	0.374
386.00	0.372
387.00	0.369
388.00	0.366
389.00	0.365
390.00	0.362
391.00	0.361
392.00	0.359
393.00	0.358
394.00	0.356
395.00	0.356
396.00	0.355
397.00	0.356
398.00	0.356
399.00	0.355
400.00	0.356
401.00	0.357
402.00	0.358
403.00	0.360
404.00	0.360
405.00	0.363
406.00	0.365
407.00	0.367
408.00	0.370
409.00	0.375
410.00	0.376
411.00	0.380
412.00	0.384
413.00	0.388
414.00	0.392
415.00	0.399
416.00	0.403
417.00	0.408
418.00	0.413
419.00	0.419
420.00	0.425
421.00	0.432
422.00	0.440
423.00	0.448
424.00	0.454
425.00	0.463
426.00	0.470
427.00	0.479
428.00	0.488
429.00	0.496
430.00	0.508
431.00	0.515
432.00	0.525
433.00	0.535
434.00	0.547
435.00	0.559
436.00	0.568
437.00	0.580
438.00	0.590
439.00	0.600
440.00	0.613
441.00	0.627
442.00	0.640
443.00	0.650
444.00	0.663
445.00	0.675
446.00	0.692
447.00	0.702
448.00	0.716
449.00	0.729
450.00	0.743
451.00	0.757
452.00	0.772
453.00	0.784
454.00	0.797
455.00	0.811
456.00	0.825
457.00	0.840
458.00	0.852
459.00	0.867
460.00	0.880
461.00	0.893
