Batch	scan003-blueberry.sre
UV540 113302	None
blueberry03 Cycle01	08/11/2022 16:21:48PM
nm	A
200.00	4.071
201.00	3.394
202.00	3.553
203.00	3.646
204.00	3.873
205.00	3.668
206.00	3.790
207.00	4.167
208.00	3.664
209.00	3.642
210.00	3.597
211.00	3.796
212.00	3.836
213.00	3.754
214.00	3.896
215.00	3.833
216.00	3.870
217.00	3.824
218.00	3.717
219.00	3.783
220.00	3.770
221.00	3.833
222.00	3.886
223.00	3.827
224.00	3.759
225.00	3.682
226.00	3.728
227.00	3.804
228.00	3.873
229.00	3.807
230.00	3.747
231.00	3.695
232.00	3.762
233.00	3.750
234.00	3.799
235.00	3.799
236.00	3.845
237.00	3.804
238.00	3.783
239.00	3.796
240.00	3.783
241.00	3.793
242.00	3.775
243.00	3.815
244.00	3.848
245.00	3.788
246.00	3.790
247.00	3.839
248.00	3.796
249.00	3.775
250.00	3.780
251.00	3.770
252.00	3.812
253.00	3.783
254.00	3.833
255.00	3.793
256.00	3.788
257.00	3.770
258.00	3.770
259.00	3.854
260.00	3.883
261.00	3.730
262.00	3.821
263.00	3.788
264.00	3.815
265.00	3.842
266.00	3.796
267.00	3.845
268.00	3.873
269.00	3.863
270.00	3.804
271.00	3.896
272.00	3.873
273.00	3.947
274.00	3.833
275.00	3.893
276.00	3.936
277.00	3.876
278.00	3.907
279.00	3.854
280.00	3.854
281.00	3.921
282.00	3.866
283.00	3.955
284.00	3.975
285.00	3.924
286.00	3.928
287.00	3.903
288.00	4.051
289.00	3.959
290.00	3.936
291.00	4.013
292.00	4.092
293.00	3.987
294.00	4.060
295.00	4.018
296.00	4.056
297.00	4.086
298.00	4.046
299.00	4.027
300.00	4.108
301.00	4.046
302.00	3.979
303.00	4.125
304.00	4.009
305.00	4.032
306.00	4.119
307.00	4.131
308.00	4.187
309.00	4.046
310.00	4.060
311.00	4.114
312.00	4.086
313.00	4.108
314.00	4.056
315.00	4.102
316.00	4.143
317.00	4.027
318.00	4.046
319.00	4.102
320.00	4.143
321.00	4.131
322.00	4.119
323.00	4.108
324.00	4.066
325.00	4.229
326.00	3.991
327.00	4.071
328.00	4.092
329.00	4.009
330.00	4.056
331.00	4.086
332.00	4.041
333.00	3.983
334.00	4.036
335.00	4.187
336.00	4.149
337.00	4.149
338.00	4.009
339.00	4.066
340.00	4.046
341.00	3.996
342.00	4.056
343.00	4.056
344.00	4.009
345.00	3.987
346.00	4.081
347.00	4.086
348.00	4.027
349.00	4.032
350.00	3.991
351.00	4.131
352.00	4.143
353.00	4.114
354.00	3.893
355.00	4.004
356.00	3.983
357.00	4.086
358.00	4.149
359.00	4.097
360.00	4.081
361.00	4.092
362.00	4.027
363.00	4.081
364.00	3.987
365.00	3.955
366.00	4.036
367.00	4.071
368.00	3.971
369.00	3.907
