Batch	scan001-blueberry.sre
UV540 113302	None
blue01 Cycle01	08/11/2022 16:13:51PM
nm	A
200.00	4.420
201.00	3.484
202.00	3.666
203.00	3.928
204.00	3.783
205.00	3.674
206.00	4.004
207.00	4.252
208.00	3.796
209.00	3.719
210.00	3.733
211.00	3.745
212.00	3.991
213.00	3.939
214.00	3.971
215.00	3.936
216.00	3.955
217.00	3.939
218.00	3.801
219.00	3.870
220.00	3.866
221.00	3.900
222.00	3.951
223.00	4.000
224.00	3.815
225.00	3.742
226.00	3.812
227.00	3.857
228.00	3.886
229.00	3.883
230.00	3.839
231.00	3.815
232.00	3.848
233.00	3.818
234.00	3.928
235.00	3.870
236.00	3.886
237.00	3.896
238.00	3.873
239.00	3.860
240.00	3.886
241.00	3.921
242.00	3.839
243.00	3.873
244.00	3.936
245.00	3.851
246.00	3.896
247.00	3.876
248.00	3.900
249.00	3.845
250.00	3.848
251.00	3.845
252.00	3.886
253.00	3.848
254.00	3.951
255.00	3.863
256.00	3.879
257.00	3.870
258.00	3.879
259.00	3.928
260.00	3.955
261.00	3.857
262.00	3.845
263.00	3.936
264.00	3.914
265.00	3.886
266.00	3.893
267.00	3.900
268.00	4.018
269.00	3.947
270.00	3.883
271.00	3.932
272.00	4.022
273.00	4.004
274.00	3.932
275.00	3.943
276.00	4.102
277.00	3.947
278.00	3.889
279.00	3.959
280.00	3.936
281.00	3.963
282.00	4.027
283.00	4.060
284.00	4.036
285.00	3.979
286.00	4.009
287.00	4.032
288.00	4.108
289.00	4.081
290.00	4.071
291.00	4.097
292.00	4.208
293.00	4.051
294.00	4.187
295.00	4.114
296.00	4.167
297.00	4.244
298.00	4.119
299.00	4.081
300.00	4.180
301.00	4.060
302.00	4.071
303.00	4.310
304.00	4.092
305.00	4.167
306.00	4.092
307.00	4.215
308.00	4.092
309.00	4.102
310.00	4.060
311.00	4.149
312.00	4.155
313.00	4.167
314.00	4.081
315.00	4.143
316.00	4.292
317.00	4.131
318.00	4.102
319.00	4.237
320.00	4.131
321.00	4.167
322.00	4.194
323.00	4.143
324.00	4.155
325.00	4.102
326.00	4.013
327.00	4.004
328.00	4.032
329.00	4.022
330.00	4.018
331.00	4.056
332.00	4.076
333.00	4.081
334.00	4.022
335.00	4.268
336.00	4.155
337.00	4.187
338.00	3.996
339.00	4.051
340.00	4.027
341.00	4.137
342.00	4.125
343.00	4.071
344.00	4.036
345.00	4.051
346.00	4.161
347.00	4.076
348.00	4.119
349.00	4.046
350.00	4.036
351.00	4.131
352.00	4.149
353.00	4.222
354.00	4.013
355.00	3.975
356.00	4.056
357.00	4.174
358.00	4.081
359.00	4.092
360.00	4.092
361.00	4.092
362.00	4.046
363.00	4.041
364.00	4.013
365.00	3.979
366.00	4.051
367.00	4.036
368.00	4.066
369.00	3.939
370.00	3.785
371.00	3.815
372.00	3.585
373.00	3.536
374.00	3.461
375.00	3.415
376.00	3.323
377.00	3.279
378.00	3.217
379.00	3.139
380.00	3.066
381.00	3.007
382.00	2.924
383.00	2.857
384.00	2.784
385.00	2.709
386.00	2.640
387.00	2.571
388.00	2.499
389.00	2.427
390.00	2.357
391.00	2.292
392.00	2.234
393.00	2.172
394.00	2.114
395.00	2.059
396.00	2.007
397.00	1.958
398.00	1.909
399.00	1.868
400.00	1.825
401.00	1.788
402.00	1.753
403.00	1.722
404.00	1.693
405.00	1.666
406.00	1.643
407.00	1.618
408.00	1.603
409.00	1.586
410.00	1.570
411.00	1.557
412.00	1.549
413.00	1.541
414.00	1.536
415.00	1.532
416.00	1.531
417.00	1.527
418.00	1.529
419.00	1.528
420.00	1.533
421.00	1.535
422.00	1.544
423.00	1.548
424.00	1.556
425.00	1.562
426.00	1.571
427.00	1.580
428.00	1.589
429.00	1.599
430.00	1.610
431.00	1.620
432.00	1.631
433.00	1.640
434.00	1.651
435.00	1.664
436.00	1.675
437.00	1.689
438.00	1.700
439.00	1.708
440.00	1.724
441.00	1.736
442.00	1.749
443.00	1.758
444.00	1.770
445.00	1.783
446.00	1.799
447.00	1.811
448.00	1.824
449.00	1.837
450.00	1.854
451.00	1.869
452.00	1.882
453.00	1.899
454.00	1.913
455.00	1.931
456.00	1.948
457.00	1.966
458.00	1.984
459.00	2.003
460.00	2.025
461.00	2.043
462.00	2.067
463.00	2.092
464.00	2.113
465.00	2.139
466.00	2.166
467.00	2.195
468.00	2.223
469.00	2.255
470.00	2.288
471.00	2.323
472.00	2.354
473.00	2.392
474.00	2.425
475.00	2.469
476.00	2.504
477.00	2.546
478.00	2.580
479.00	2.624
480.00	2.672
481.00	2.717
482.00	2.759
483.00	2.805
484.00	2.849
485.00	2.878
486.00	2.940
487.00	2.988
488.00	3.038
489.00	3.085
490.00	3.131
491.00	3.178
492.00	3.231
493.00	3.280
494.00	3.319
495.00	3.367
496.00	3.413
497.00	3.453
498.00	3.481
499.00	3.523
500.00	3.572
501.00	3.600
502.00	3.638
503.00	3.676
504.00	3.719
505.00	3.752
506.00	3.759
507.00	3.780
508.00	3.836
509.00	3.796
510.00	3.821
511.00	3.851
512.00	3.883
513.00	3.903
514.00	3.932
515.00	3.910
516.00	3.914
517.00	3.939
518.00	3.917
519.00	3.951
520.00	3.967
521.00	3.914
522.00	3.939
523.00	3.959
524.00	3.943
525.00	3.928
526.00	3.951
527.00	3.900
528.00	3.947
529.00	3.910
530.00	3.910
531.00	3.917
532.00	3.924
533.00	3.917
534.00	3.876
535.00	3.851
536.00	3.848
537.00	3.854
538.00	3.810
539.00	3.790
540.00	3.759
541.00	3.712
542.00	3.697
543.00	3.658
544.00	3.600
545.00	3.554
546.00	3.476
547.00	3.457
548.00	3.423
549.00	3.368
550.00	3.303
551.00	3.249
552.00	3.186
553.00	3.121
554.00	3.064
555.00	2.992
556.00	2.926
557.00	2.862
558.00	2.787
559.00	2.720
