Batch	scan002
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	16/11/2022 09:16:59AM
nm	A
300.00	5.064
301.00	XXX.XXX
302.00	5.802
303.00	4.344
304.00	4.116
305.00	3.974
306.00	3.904
307.00	3.866
308.00	3.999
309.00	4.848
310.00	5.005
311.00	5.080
312.00	XXX.XXX
313.00	4.748
314.00	4.303
315.00	3.814
316.00	3.402
317.00	3.035
318.00	2.735
319.00	2.436
320.00	2.191
321.00	2.003
322.00	1.848
323.00	1.732
324.00	1.648
325.00	1.581
326.00	1.537
327.00	1.501
328.00	1.476
329.00	1.454
330.00	1.436
331.00	1.423
332.00	1.414
333.00	1.398
334.00	1.391
335.00	1.381
336.00	1.375
337.00	1.370
338.00	1.365
339.00	1.362
340.00	1.357
341.00	1.352
342.00	1.348
343.00	1.345
344.00	1.336
345.00	1.337
346.00	1.336
347.00	1.329
348.00	1.324
349.00	1.324
350.00	1.316
351.00	1.317
352.00	1.308
353.00	1.310
354.00	1.310
355.00	1.303
356.00	1.303
357.00	1.301
358.00	1.297
359.00	1.298
360.00	1.299
361.00	1.297
362.00	1.294
363.00	1.294
364.00	1.294
365.00	1.293
366.00	1.296
367.00	1.292
368.00	1.296
369.00	1.296
370.00	1.293
371.00	1.296
372.00	1.295
373.00	1.296
374.00	1.296
375.00	1.298
376.00	1.301
377.00	1.303
378.00	1.301
379.00	1.306
380.00	1.305
381.00	1.308
382.00	1.307
383.00	1.309
384.00	1.313
385.00	1.317
386.00	1.320
387.00	1.322
388.00	1.326
389.00	1.327
390.00	1.333
391.00	1.335
392.00	1.339
393.00	1.342
394.00	1.348
395.00	1.350
396.00	1.353
397.00	1.356
398.00	1.360
399.00	1.364
400.00	1.365
401.00	1.370
402.00	1.371
403.00	1.371
404.00	1.373
405.00	1.374
406.00	1.378
407.00	1.380
408.00	1.381
409.00	1.382
410.00	1.381
411.00	1.384
412.00	1.382
413.00	1.386
414.00	1.386
415.00	1.384
416.00	1.388
417.00	1.387
418.00	1.388
419.00	1.389
420.00	1.387
421.00	1.387
422.00	1.387
423.00	1.385
424.00	1.383
425.00	1.382
426.00	1.381
427.00	1.382
428.00	1.380
429.00	1.377
430.00	1.374
431.00	1.374
432.00	1.372
433.00	1.369
434.00	1.368
435.00	1.365
436.00	1.362
437.00	1.360
438.00	1.359
439.00	1.358
440.00	1.358
441.00	1.355
442.00	1.353
443.00	1.352
444.00	1.351
445.00	1.350
446.00	1.348
447.00	1.347
448.00	1.345
449.00	1.343
450.00	1.341
451.00	1.340
452.00	1.337
453.00	1.335
454.00	1.335
455.00	1.331
456.00	1.328
457.00	1.324
458.00	1.322
459.00	1.319
460.00	1.316
461.00	1.310
462.00	1.308
463.00	1.304
464.00	1.298
465.00	1.292
466.00	1.288
467.00	1.283
468.00	1.277
469.00	1.272
470.00	1.267
471.00	1.259
472.00	1.254
473.00	1.249
474.00	1.242
475.00	1.237
476.00	1.228
477.00	1.223
478.00	1.216
479.00	1.213
480.00	1.205
481.00	1.200
482.00	1.197
483.00	1.191
484.00	1.187
485.00	1.181
486.00	1.176
487.00	1.172
488.00	1.169
489.00	1.167
490.00	1.163
491.00	1.161
492.00	1.159
493.00	1.158
494.00	1.155
495.00	1.155
496.00	1.157
497.00	1.156
498.00	1.154
499.00	1.155
500.00	1.159
501.00	1.159
502.00	1.162
503.00	1.163
504.00	1.164
505.00	1.169
506.00	1.171
507.00	1.174
508.00	1.176
509.00	1.180
510.00	1.184
511.00	1.186
512.00	1.191
513.00	1.193
514.00	1.199
515.00	1.202
516.00	1.204
517.00	1.210
518.00	1.213
519.00	1.214
520.00	1.218
521.00	1.220
522.00	1.224
523.00	1.227
524.00	1.230
525.00	1.231
526.00	1.232
527.00	1.233
528.00	1.235
529.00	1.235
530.00	1.237
531.00	1.235
532.00	1.233
533.00	1.234
534.00	1.231
535.00	1.231
536.00	1.226
537.00	1.223
538.00	1.219
539.00	1.215
540.00	1.208
541.00	1.205
542.00	1.197
543.00	1.192
544.00	1.185
545.00	1.177
546.00	1.169
547.00	1.159
548.00	1.148
549.00	1.139
550.00	1.129
551.00	1.119
552.00	1.109
553.00	1.096
554.00	1.082
555.00	1.069
556.00	1.055
557.00	1.041
558.00	1.027
559.00	1.014
560.00	0.999
561.00	0.984
562.00	0.972
563.00	0.955
564.00	0.942
565.00	0.928
566.00	0.913
567.00	0.900
568.00	0.883
569.00	0.869
570.00	0.854
571.00	0.841
572.00	0.825
573.00	0.811
574.00	0.796
575.00	0.782
576.00	0.768
577.00	0.757
578.00	0.743
579.00	0.729
580.00	0.720
581.00	0.708
582.00	0.695
583.00	0.687
584.00	0.674
585.00	0.664
586.00	0.654
587.00	0.645
588.00	0.633
589.00	0.626
590.00	0.617
591.00	0.608
592.00	0.600
593.00	0.591
594.00	0.584
595.00	0.577
596.00	0.571
597.00	0.564
598.00	0.556
599.00	0.550
600.00	0.544
601.00	0.539
602.00	0.532
603.00	0.529
604.00	0.523
605.00	0.518
606.00	0.512
607.00	0.508
608.00	0.505
609.00	0.500
610.00	0.496
611.00	0.491
612.00	0.488
613.00	0.484
614.00	0.481
615.00	0.476
616.00	0.472
617.00	0.470
618.00	0.465
619.00	0.464
620.00	0.458
621.00	0.458
622.00	0.454
623.00	0.452
624.00	0.449
625.00	0.445
626.00	0.444
627.00	0.440
628.00	0.438
629.00	0.435
630.00	0.433
631.00	0.431
632.00	0.426
633.00	0.427
634.00	0.422
635.00	0.419
636.00	0.419
637.00	0.415
638.00	0.415
639.00	0.411
640.00	0.409
641.00	0.407
642.00	0.406
643.00	0.404
644.00	0.401
645.00	0.397
646.00	0.396
647.00	0.395
648.00	0.393
649.00	0.390
650.00	0.388
651.00	0.388
652.00	0.385
653.00	0.382
654.00	0.382
655.00	0.379
656.00	0.377
657.00	0.376
658.00	0.374
659.00	0.371
660.00	0.369
661.00	0.369
662.00	0.367
663.00	0.365
664.00	0.363
665.00	0.361
666.00	0.359
667.00	0.355
668.00	0.356
669.00	0.355
670.00	0.351
671.00	0.351
672.00	0.349
673.00	0.346
674.00	0.346
675.00	0.343
676.00	0.342
677.00	0.339
678.00	0.337
679.00	0.336
680.00	0.334
681.00	0.334
682.00	0.333
683.00	0.331
684.00	0.328
685.00	0.326
686.00	0.324
687.00	0.324
688.00	0.322
689.00	0.321
690.00	0.318
691.00	0.317
692.00	0.315
693.00	0.314
694.00	0.314
695.00	0.309
696.00	0.310
697.00	0.307
698.00	0.306
699.00	0.304
700.00	0.301
701.00	0.300
702.00	0.299
703.00	0.295
704.00	0.296
705.00	0.293
706.00	0.290
707.00	0.291
708.00	0.288
709.00	0.286
710.00	0.287
711.00	0.285
712.00	0.282
713.00	0.280
714.00	0.279
715.00	0.277
716.00	0.274
717.00	0.275
718.00	0.271
719.00	0.271
720.00	0.268
721.00	0.269
722.00	0.268
723.00	0.265
724.00	0.264
725.00	0.261
726.00	0.260
727.00	0.259
728.00	0.259
729.00	0.256
730.00	0.256
731.00	0.256
732.00	0.254
733.00	0.252
734.00	0.252
735.00	0.249
736.00	0.248
737.00	0.246
738.00	0.245
739.00	0.243
740.00	0.243
741.00	0.242
742.00	0.241
743.00	0.237
744.00	0.235
745.00	0.236
746.00	0.236
747.00	0.233
748.00	0.234
749.00	0.231
750.00	0.232
751.00	0.229
752.00	0.230
753.00	0.228
754.00	0.227
755.00	0.225
756.00	0.225
757.00	0.225
758.00	0.224
759.00	0.222
760.00	0.221
761.00	0.221
762.00	0.217
763.00	0.219
764.00	0.218
765.00	0.216
766.00	0.218
767.00	0.218
768.00	0.214
769.00	0.214
770.00	0.212
771.00	0.213
772.00	0.211
773.00	0.210
774.00	0.212
775.00	0.211
776.00	0.209
777.00	0.208
778.00	0.209
779.00	0.206
780.00	0.204
781.00	0.207
782.00	0.205
783.00	0.206
784.00	0.204
785.00	0.204
786.00	0.203
787.00	0.204
788.00	0.204
789.00	0.201
790.00	0.200
791.00	0.201
792.00	0.198
793.00	0.199
794.00	0.199
795.00	0.196
796.00	0.199
797.00	0.196
798.00	0.197
799.00	0.198
800.00	0.197
