Current Voltage
-0.700000000 -0.002858129 
-0.650000000 -0.002091986
-0.600000000 -0.001565950
-0.550000000 -0.001130148
-0.500000000 -0.000779088
-0.450000000 -0.000511518
-0.400000000 -0.000308728
-0.350000000 -0.000174278
-0.300000000 -9.542819000E-5
-0.250000000 -5.401004400E-5
-0.200000000 -3.197768400E-5
-0.150000000 -2.106120600E-5
-0.100000000 -1.606633000E-5
-0.050000000 -1.328955400E-5
1.110223025E-16 -1.118747000E-5
0.050000000 -8.796846400E-6
0.100000000 -5.119220200E-6
0.150000000 1.839440400E-6
0.200000000 1.494506800E-5
0.250000000 4.020936600E-5
0.300000000 8.996878000E-5
0.350000000 0.000178568
0.400000000 0.000325898
0.450000000 0.000545717
0.500000000 0.000857906
0.550000000 0.001259377
0.600000000 0.001732530
0.650000000 0.002287477
0.700000000 0.002897315
