Batch	SentiGlass_14Nov006.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 10:56:23AM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	XXX.XXX
279.00	XXX.XXX
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	XXX.XXX
284.00	XXX.XXX
285.00	XXX.XXX
286.00	XXX.XXX
287.00	XXX.XXX
288.00	XXX.XXX
289.00	XXX.XXX
290.00	XXX.XXX
291.00	XXX.XXX
292.00	XXX.XXX
293.00	XXX.XXX
294.00	XXX.XXX
295.00	XXX.XXX
296.00	XXX.XXX
297.00	XXX.XXX
298.00	XXX.XXX
299.00	XXX.XXX
300.00	XXX.XXX
301.00	XXX.XXX
302.00	XXX.XXX
303.00	XXX.XXX
304.00	XXX.XXX
305.00	XXX.XXX
306.00	XXX.XXX
307.00	XXX.XXX
308.00	XXX.XXX
309.00	XXX.XXX
310.00	XXX.XXX
311.00	4.695
312.00	4.206
313.00	3.613
314.00	3.440
315.00	3.369
316.00	3.125
317.00	3.042
318.00	3.005
319.00	2.911
320.00	2.829
321.00	2.764
322.00	2.703
323.00	2.655
324.00	2.601
325.00	2.537
326.00	2.510
327.00	2.494
328.00	2.458
329.00	2.437
330.00	2.406
331.00	2.389
332.00	2.357
333.00	2.337
334.00	2.313
335.00	2.295
336.00	2.277
337.00	2.261
338.00	2.242
339.00	2.216
340.00	2.203
341.00	2.168
342.00	2.147
343.00	2.112
344.00	2.080
345.00	2.046
346.00	1.998
347.00	1.958
348.00	1.919
349.00	1.869
350.00	1.828
351.00	1.782
352.00	1.732
353.00	1.678
354.00	1.633
355.00	1.585
356.00	1.543
357.00	1.498
358.00	1.459
359.00	1.421
360.00	1.386
361.00	1.355
362.00	1.328
363.00	1.302
364.00	1.276
365.00	1.254
366.00	1.237
367.00	1.215
368.00	1.198
369.00	1.184
370.00	1.169
371.00	1.159
372.00	1.147
373.00	1.136
374.00	1.129
375.00	1.119
376.00	1.109
377.00	1.101
378.00	1.094
379.00	1.085
380.00	1.076
381.00	1.068
382.00	1.062
383.00	1.054
384.00	1.045
385.00	1.039
386.00	1.031
387.00	1.020
388.00	1.018
389.00	1.008
390.00	1.003
391.00	0.994
392.00	0.987
393.00	0.984
394.00	0.975
395.00	0.967
396.00	0.961
397.00	0.954
398.00	0.949
399.00	0.942
400.00	0.937
401.00	0.928
402.00	0.921
403.00	0.917
404.00	0.911
405.00	0.904
406.00	0.899
407.00	0.892
408.00	0.886
409.00	0.880
410.00	0.874
411.00	0.869
412.00	0.852
413.00	0.848
414.00	0.839
415.00	0.836
416.00	0.831
417.00	0.828
418.00	0.825
419.00	0.818
420.00	0.818
421.00	0.812
422.00	0.808
423.00	0.806
424.00	0.803
425.00	0.800
426.00	0.797
427.00	0.795
428.00	0.792
429.00	0.791
430.00	0.786
431.00	0.784
432.00	0.781
433.00	0.779
434.00	0.776
435.00	0.773
436.00	0.772
437.00	0.770
438.00	0.765
439.00	0.762
440.00	0.761
441.00	0.758
442.00	0.753
443.00	0.754
444.00	0.751
445.00	0.747
446.00	0.746
447.00	0.745
448.00	0.742
449.00	0.743
450.00	0.738
451.00	0.737
452.00	0.734
453.00	0.731
454.00	0.729
455.00	0.728
456.00	0.727
457.00	0.726
458.00	0.726
459.00	0.723
460.00	0.721
461.00	0.721
462.00	0.719
463.00	0.719
464.00	0.715
465.00	0.714
466.00	0.712
467.00	0.713
468.00	0.712
469.00	0.711
470.00	0.709
471.00	0.709
472.00	0.706
473.00	0.708
474.00	0.706
475.00	0.705
476.00	0.706
477.00	0.702
478.00	0.702
479.00	0.702
480.00	0.702
481.00	0.699
482.00	0.699
483.00	0.700
484.00	0.699
485.00	0.700
486.00	0.697
487.00	0.697
488.00	0.698
489.00	0.695
490.00	0.695
491.00	0.696
492.00	0.694
493.00	0.694
494.00	0.691
495.00	0.691
496.00	0.691
497.00	0.691
498.00	0.691
499.00	0.690
500.00	0.690
501.00	0.689
502.00	0.690
503.00	0.689
504.00	0.688
505.00	0.689
506.00	0.689
507.00	0.688
508.00	0.688
509.00	0.687
510.00	0.687
511.00	0.686
512.00	0.692
513.00	0.690
514.00	0.690
515.00	0.689
516.00	0.690
517.00	0.689
518.00	0.688
519.00	0.687
520.00	0.686
521.00	0.684
522.00	0.682
523.00	0.679
