Batch	SentiGlass_14Nov007.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:00:37AM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	XXX.XXX
279.00	XXX.XXX
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	XXX.XXX
284.00	XXX.XXX
285.00	XXX.XXX
286.00	XXX.XXX
287.00	XXX.XXX
288.00	XXX.XXX
289.00	XXX.XXX
290.00	XXX.XXX
291.00	XXX.XXX
292.00	XXX.XXX
293.00	XXX.XXX
294.00	XXX.XXX
295.00	XXX.XXX
296.00	XXX.XXX
297.00	XXX.XXX
298.00	XXX.XXX
299.00	XXX.XXX
300.00	XXX.XXX
301.00	XXX.XXX
302.00	4.522
303.00	3.702
304.00	3.452
305.00	3.197
306.00	2.958
307.00	2.807
308.00	2.631
309.00	2.484
310.00	2.370
311.00	2.249
312.00	2.139
313.00	2.041
314.00	1.954
315.00	1.863
316.00	1.790
317.00	1.710
318.00	1.640
319.00	1.582
320.00	1.525
321.00	1.478
322.00	1.427
323.00	1.381
324.00	1.345
325.00	1.379
326.00	1.338
327.00	1.305
328.00	1.276
329.00	1.251
330.00	1.223
331.00	1.201
332.00	1.174
333.00	1.156
334.00	1.134
335.00	1.118
336.00	1.106
337.00	1.089
338.00	1.077
339.00	1.066
340.00	1.054
341.00	1.045
342.00	1.035
343.00	1.029
344.00	1.020
345.00	1.013
346.00	1.004
347.00	1.002
348.00	0.994
349.00	0.986
350.00	1.001
351.00	0.992
352.00	0.985
353.00	0.981
354.00	0.978
355.00	0.972
356.00	0.965
357.00	0.963
358.00	0.958
359.00	0.951
360.00	0.947
361.00	0.945
362.00	0.941
363.00	0.936
364.00	0.932
365.00	0.926
366.00	0.924
367.00	0.921
368.00	0.917
369.00	0.913
370.00	0.908
371.00	0.905
372.00	0.900
373.00	0.900
374.00	0.897
375.00	0.893
376.00	0.892
377.00	0.887
378.00	0.886
379.00	0.878
380.00	0.875
381.00	0.872
382.00	0.869
383.00	0.864
384.00	0.860
385.00	0.857
386.00	0.850
387.00	0.847
388.00	0.844
389.00	0.840
390.00	0.840
391.00	0.835
392.00	0.831
393.00	0.829
394.00	0.825
395.00	0.822
396.00	0.818
397.00	0.816
398.00	0.815
399.00	0.813
400.00	0.810
401.00	0.809
402.00	0.805
403.00	0.804
404.00	0.802
405.00	0.800
406.00	0.797
407.00	0.797
408.00	0.793
409.00	0.792
410.00	0.789
411.00	0.791
412.00	0.784
413.00	0.785
414.00	0.781
415.00	0.781
416.00	0.779
417.00	0.781
418.00	0.779
419.00	0.776
420.00	0.779
421.00	0.774
422.00	0.776
423.00	0.775
424.00	0.774
425.00	0.772
426.00	0.771
427.00	0.771
428.00	0.771
429.00	0.770
430.00	0.771
431.00	0.769
432.00	0.769
433.00	0.770
434.00	0.768
435.00	0.767
436.00	0.770
437.00	0.767
438.00	0.768
439.00	0.766
440.00	0.772
441.00	0.766
442.00	0.765
443.00	0.768
444.00	0.767
445.00	0.766
446.00	0.766
447.00	0.767
448.00	0.767
449.00	0.769
450.00	0.767
451.00	0.768
452.00	0.767
453.00	0.767
454.00	0.767
455.00	0.768
456.00	0.769
457.00	0.769
458.00	0.770
459.00	0.770
460.00	0.770
461.00	0.772
462.00	0.773
