Batch	scan004.sre
UV540 113302	None
beetroot Cycle01	08/11/2022 15:54:36PM
nm	A
200.00	3.627
201.00	3.324
202.00	3.567
203.00	3.712
204.00	3.745
205.00	3.529
206.00	3.745
207.00	3.896
208.00	3.622
209.00	3.664
210.00	3.642
211.00	3.620
212.00	3.654
213.00	3.708
214.00	3.785
215.00	3.762
216.00	3.740
217.00	3.719
218.00	3.660
219.00	3.684
220.00	3.693
221.00	3.721
222.00	3.742
223.00	3.750
224.00	3.688
225.00	3.604
226.00	3.625
227.00	3.646
228.00	3.684
229.00	3.670
230.00	3.623
231.00	3.570
232.00	3.567
233.00	3.504
234.00	3.457
235.00	3.353
236.00	3.292
237.00	3.186
238.00	3.107
239.00	3.029
240.00	2.943
241.00	2.886
242.00	2.831
243.00	2.788
244.00	2.749
245.00	2.712
246.00	2.687
247.00	2.662
248.00	2.635
249.00	2.614
250.00	2.596
251.00	2.571
252.00	2.550
253.00	2.533
254.00	2.522
255.00	2.500
256.00	2.489
257.00	2.475
258.00	2.459
259.00	2.451
260.00	2.441
261.00	2.435
262.00	2.427
263.00	2.422
264.00	2.418
265.00	2.408
266.00	2.406
267.00	2.408
268.00	2.410
269.00	2.409
270.00	2.403
271.00	2.388
272.00	2.363
273.00	2.337
274.00	2.310
275.00	2.288
276.00	2.276
277.00	2.261
278.00	2.252
279.00	2.239
280.00	2.207
281.00	2.174
282.00	2.139
283.00	2.103
284.00	2.070
285.00	2.040
286.00	2.013
287.00	1.992
288.00	1.970
289.00	1.942
290.00	1.916
291.00	1.891
292.00	1.866
293.00	1.841
294.00	1.825
295.00	1.803
296.00	1.786
297.00	1.774
298.00	1.761
299.00	1.750
300.00	1.743
301.00	1.730
302.00	1.722
303.00	1.713
304.00	1.702
305.00	1.693
306.00	1.680
307.00	1.671
308.00	1.654
309.00	1.641
310.00	1.624
311.00	1.609
312.00	1.594
313.00	1.578
314.00	1.562
315.00	1.549
316.00	1.533
317.00	1.517
318.00	1.502
319.00	1.487
320.00	1.472
321.00	1.457
322.00	1.438
323.00	1.420
324.00	1.404
325.00	1.378
326.00	1.359
327.00	1.339
328.00	1.318
