Batch	scan003.sre
UV540 113302	None
Sample001 Cycle01	08/11/2022 15:48:45PM
nm	A
200.00	2.919
201.00	1.373
202.00	1.643
203.00	2.019
204.00	2.586
205.00	2.634
206.00	3.285
207.00	4.114
208.00	3.457
209.00	3.451
210.00	3.690
211.00	3.907
212.00	4.174
213.00	4.137
214.00	4.149
215.00	4.161
216.00	4.602
217.00	4.357
218.00	3.896
219.00	4.161
220.00	4.292
221.00	4.319
222.00	5.222
223.00	XXX.XXX
224.00	4.357
225.00	4.041
226.00	4.229
227.00	4.620
228.00	XXX.XXX
229.00	XXX.XXX
230.00	4.553
231.00	4.553
232.00	4.602
233.00	4.523
234.00	5.000
235.00	5.155
236.00	XXX.XXX
237.00	4.699
238.00	XXX.XXX
239.00	4.523
240.00	XXX.XXX
241.00	5.222
242.00	5.000
243.00	4.796
244.00	5.000
245.00	4.745
246.00	5.301
247.00	4.770
248.00	4.959
249.00	4.602
250.00	5.000
251.00	4.886
252.00	4.745
253.00	4.553
254.00	4.745
255.00	4.456
256.00	4.569
257.00	4.495
258.00	4.432
259.00	4.678
260.00	4.553
261.00	4.108
262.00	3.971
263.00	3.873
264.00	3.764
265.00	3.695
266.00	3.631
267.00	3.597
268.00	3.600
269.00	3.542
270.00	3.551
271.00	3.569
272.00	3.578
273.00	3.652
274.00	3.676
275.00	3.724
276.00	3.830
277.00	3.807
278.00	3.907
279.00	4.022
280.00	4.108
281.00	4.125
282.00	4.155
283.00	4.301
284.00	4.347
285.00	4.215
286.00	4.268
287.00	4.301
288.00	4.432
289.00	4.444
290.00	4.301
291.00	4.337
292.00	4.481
293.00	4.347
294.00	4.469
295.00	4.337
296.00	4.367
297.00	4.495
298.00	4.409
299.00	4.284
300.00	4.420
301.00	4.161
302.00	4.194
303.00	4.222
304.00	4.137
305.00	3.971
306.00	3.979
307.00	3.983
308.00	3.955
309.00	3.910
310.00	3.983
311.00	3.971
312.00	4.018
313.00	4.086
314.00	4.071
315.00	4.027
316.00	3.863
317.00	3.738
318.00	3.658
319.00	3.445
320.00	3.173
321.00	2.877
322.00	2.601
323.00	2.367
324.00	2.171
325.00	2.008
326.00	1.886
327.00	1.790
328.00	1.730
329.00	1.679
330.00	1.641
331.00	1.614
332.00	1.588
333.00	1.565
334.00	1.545
335.00	1.534
336.00	1.519
337.00	1.502
338.00	1.493
339.00	1.482
340.00	1.473
341.00	1.470
342.00	1.463
343.00	1.457
344.00	1.450
345.00	1.444
346.00	1.442
347.00	1.433
348.00	1.432
349.00	1.424
350.00	1.419
351.00	1.416
352.00	1.413
353.00	1.407
354.00	1.402
355.00	1.397
356.00	1.395
357.00	1.392
358.00	1.388
359.00	1.387
360.00	1.384
361.00	1.384
362.00	1.383
363.00	1.383
364.00	1.381
365.00	1.379
366.00	1.380
367.00	1.378
368.00	1.381
369.00	1.378
370.00	1.377
371.00	1.378
372.00	1.378
373.00	1.378
374.00	1.380
375.00	1.380
376.00	1.382
377.00	1.381
378.00	1.384
379.00	1.385
380.00	1.385
381.00	1.387
382.00	1.389
383.00	1.390
384.00	1.392
385.00	1.395
386.00	1.398
387.00	1.401
388.00	1.404
389.00	1.408
390.00	1.413
391.00	1.417
392.00	1.421
393.00	1.424
394.00	1.429
395.00	1.434
396.00	1.439
397.00	1.445
398.00	1.448
399.00	1.454
400.00	1.456
401.00	1.460
402.00	1.465
403.00	1.469
404.00	1.469
405.00	1.472
406.00	1.476
407.00	1.479
408.00	1.483
409.00	1.486
410.00	1.485
411.00	1.487
412.00	1.488
413.00	1.490
414.00	1.493
415.00	1.493
416.00	1.494
417.00	1.495
418.00	1.497
419.00	1.497
420.00	1.497
421.00	1.497
422.00	1.498
423.00	1.500
424.00	1.498
425.00	1.497
426.00	1.497
427.00	1.498
428.00	1.496
429.00	1.493
430.00	1.495
431.00	1.491
432.00	1.490
433.00	1.485
434.00	1.483
435.00	1.484
436.00	1.480
437.00	1.480
438.00	1.478
439.00	1.474
440.00	1.472
441.00	1.470
442.00	1.469
443.00	1.465
444.00	1.464
445.00	1.461
446.00	1.462
447.00	1.458
448.00	1.457
449.00	1.455
450.00	1.453
451.00	1.453
452.00	1.451
453.00	1.449
454.00	1.447
455.00	1.445
456.00	1.441
457.00	1.439
458.00	1.437
459.00	1.434
460.00	1.430
461.00	1.424
462.00	1.420
