Batch	scan003.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	08/11/2022 14:24:22PM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	6.092
279.00	XXX.XXX
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	XXX.XXX
284.00	4.110
285.00	XXX.XXX
286.00	4.446
287.00	XXX.XXX
288.00	4.157
289.00	5.212
290.00	4.398
291.00	4.927
292.00	3.934
293.00	XXX.XXX
294.00	5.728
295.00	4.357
296.00	5.407
297.00	5.633
298.00	4.327
299.00	3.980
300.00	3.985
301.00	3.925
302.00	4.089
303.00	3.771
304.00	3.902
305.00	3.560
306.00	3.486
307.00	3.454
308.00	3.351
309.00	3.113
310.00	3.092
311.00	2.924
312.00	2.861
313.00	2.811
314.00	2.745
315.00	2.649
316.00	2.596
317.00	2.465
318.00	2.460
319.00	2.373
320.00	2.317
321.00	2.277
322.00	2.210
323.00	2.175
324.00	2.134
325.00	1.998
326.00	1.972
327.00	1.935
328.00	1.919
329.00	1.881
330.00	1.853
331.00	1.829
332.00	1.802
333.00	1.779
334.00	1.753
335.00	1.734
336.00	1.709
337.00	1.685
338.00	1.658
339.00	1.632
340.00	1.592
341.00	1.564
342.00	1.524
343.00	1.489
344.00	1.452
345.00	1.405
346.00	1.363
347.00	1.315
348.00	1.274
349.00	1.228
350.00	1.185
351.00	1.134
352.00	1.090
353.00	1.046
354.00	1.004
355.00	0.962
356.00	0.918
357.00	0.881
358.00	0.844
359.00	0.813
360.00	0.784
361.00	0.754
362.00	0.730
363.00	0.708
364.00	0.686
365.00	0.667
366.00	0.653
367.00	0.631
368.00	0.615
369.00	0.604
370.00	0.588
371.00	0.581
372.00	0.570
373.00	0.560
374.00	0.553
375.00	0.545
376.00	0.536
377.00	0.527
378.00	0.523
379.00	0.516
380.00	0.509
381.00	0.501
382.00	0.495
383.00	0.492
384.00	0.483
385.00	0.476
386.00	0.472
387.00	0.468
388.00	0.461
389.00	0.453
390.00	0.451
391.00	0.444
392.00	0.441
393.00	0.435
394.00	0.434
395.00	0.431
396.00	0.425
397.00	0.419
398.00	0.419
399.00	0.417
400.00	0.411
401.00	0.410
402.00	0.404
403.00	0.401
404.00	0.402
405.00	0.397
406.00	0.394
407.00	0.390
408.00	0.390
409.00	0.385
410.00	0.384
411.00	0.381
412.00	0.379
413.00	0.375
414.00	0.371
415.00	0.373
416.00	0.369
417.00	0.367
418.00	0.363
419.00	0.363
420.00	0.360
421.00	0.360
422.00	0.353
423.00	0.354
424.00	0.350
425.00	0.347
426.00	0.348
427.00	0.343
428.00	0.344
429.00	0.339
430.00	0.341
431.00	0.339
432.00	0.335
433.00	0.336
434.00	0.333
435.00	0.335
436.00	0.332
437.00	0.328
438.00	0.325
439.00	0.321
440.00	0.324
441.00	0.322
442.00	0.320
443.00	0.315
444.00	0.317
445.00	0.315
446.00	0.313
447.00	0.311
448.00	0.309
449.00	0.307
450.00	0.305
451.00	0.301
452.00	0.304
453.00	0.301
454.00	0.300
455.00	0.297
456.00	0.296
457.00	0.296
458.00	0.292
459.00	0.291
460.00	0.292
461.00	0.288
462.00	0.286
463.00	0.288
464.00	0.286
465.00	0.285
466.00	0.284
467.00	0.280
468.00	0.278
469.00	0.279
470.00	0.277
471.00	0.276
472.00	0.273
473.00	0.273
474.00	0.273
475.00	0.272
476.00	0.272
477.00	0.268
478.00	0.268
479.00	0.267
480.00	0.267
481.00	0.265
482.00	0.262
483.00	0.262
484.00	0.261
485.00	0.262
486.00	0.259
487.00	0.259
488.00	0.257
489.00	0.256
490.00	0.255
491.00	0.256
492.00	0.254
493.00	0.253
494.00	0.253
495.00	0.255
496.00	0.249
497.00	0.249
498.00	0.250
499.00	0.249
500.00	0.249
501.00	0.246
502.00	0.246
503.00	0.243
504.00	0.244
505.00	0.241
506.00	0.240
507.00	0.242
508.00	0.241
509.00	0.241
510.00	0.240
511.00	0.238
512.00	0.238
513.00	0.238
514.00	0.238
515.00	0.233
516.00	0.235
517.00	0.235
518.00	0.238
519.00	0.235
520.00	0.233
521.00	0.231
522.00	0.233
523.00	0.232
524.00	0.233
525.00	0.231
526.00	0.229
527.00	0.231
528.00	0.227
529.00	0.226
530.00	0.228
531.00	0.225
532.00	0.227
533.00	0.226
534.00	0.226
535.00	0.224
536.00	0.224
537.00	0.221
538.00	0.223
539.00	0.222
540.00	0.221
541.00	0.223
542.00	0.222
543.00	0.221
544.00	0.220
545.00	0.220
546.00	0.217
547.00	0.221
548.00	0.218
549.00	0.218
550.00	0.217
551.00	0.215
552.00	0.217
553.00	0.217
554.00	0.214
555.00	0.214
556.00	0.216
557.00	0.213
558.00	0.213
559.00	0.212
560.00	0.212
561.00	0.211
562.00	0.212
563.00	0.210
564.00	0.210
565.00	0.209
566.00	0.209
567.00	0.210
568.00	0.207
569.00	0.208
570.00	0.209
571.00	0.208
572.00	0.208
573.00	0.206
574.00	0.206
575.00	0.207
576.00	0.206
577.00	0.204
578.00	0.204
579.00	0.204
580.00	0.205
581.00	0.204
582.00	0.203
583.00	0.202
584.00	0.199
585.00	0.200
586.00	0.201
587.00	0.200
588.00	0.202
589.00	0.199
590.00	0.201
591.00	0.199
592.00	0.197
593.00	0.199
594.00	0.199
595.00	0.198
596.00	0.197
597.00	0.197
598.00	0.197
599.00	0.197
600.00	0.194
