Batch	scan007.sre
UV540 113302	None
tur02 Cycle01	08/11/2022 16:03:29PM
nm	A
200.00	3.714
201.00	3.367
202.00	3.572
203.00	3.569
204.00	3.668
205.00	3.551
206.00	3.686
207.00	3.991
208.00	3.623
209.00	3.578
210.00	3.656
211.00	3.706
212.00	3.772
213.00	3.721
214.00	3.752
215.00	3.764
216.00	3.801
217.00	3.740
218.00	3.646
219.00	3.654
220.00	3.708
221.00	3.719
222.00	3.780
223.00	3.733
224.00	3.662
225.00	3.658
226.00	3.600
227.00	3.695
228.00	3.684
229.00	3.701
230.00	3.658
231.00	3.654
232.00	3.635
233.00	3.646
234.00	3.676
235.00	3.695
236.00	3.712
237.00	3.662
238.00	3.701
239.00	3.701
240.00	3.684
241.00	3.693
242.00	3.699
243.00	3.688
244.00	3.699
245.00	3.629
246.00	3.658
247.00	3.668
248.00	3.684
249.00	3.695
250.00	3.670
251.00	3.660
252.00	3.693
253.00	3.664
254.00	3.701
255.00	3.662
256.00	3.678
257.00	3.668
258.00	3.660
259.00	3.708
260.00	3.735
261.00	3.650
262.00	3.633
263.00	3.680
264.00	3.646
265.00	3.662
266.00	3.672
267.00	3.652
268.00	3.710
269.00	3.695
270.00	3.699
271.00	3.690
272.00	3.703
273.00	3.764
274.00	3.688
275.00	3.697
276.00	3.799
277.00	3.728
278.00	3.735
279.00	3.730
280.00	3.719
281.00	3.701
282.00	3.735
283.00	3.793
284.00	3.785
285.00	3.775
286.00	3.783
287.00	3.780
288.00	3.824
289.00	3.783
290.00	3.788
291.00	3.812
292.00	3.807
293.00	3.799
294.00	3.876
295.00	3.799
296.00	3.845
297.00	3.848
298.00	3.854
299.00	3.851
300.00	3.893
301.00	3.801
302.00	3.815
303.00	3.866
304.00	3.833
305.00	3.830
306.00	3.836
307.00	3.810
308.00	3.845
309.00	3.812
310.00	3.783
311.00	3.818
312.00	3.815
313.00	3.812
314.00	3.793
315.00	3.810
316.00	3.821
317.00	3.745
318.00	3.740
319.00	3.790
320.00	3.762
321.00	3.721
322.00	3.693
323.00	3.640
324.00	3.666
325.00	3.676
326.00	3.611
327.00	3.600
328.00	3.565
329.00	3.503
330.00	3.469
331.00	3.399
332.00	3.380
333.00	3.332
334.00	3.282
335.00	3.246
336.00	3.200
337.00	3.152
338.00	3.087
339.00	3.043
340.00	2.992
341.00	2.920
342.00	2.880
343.00	2.834
344.00	2.774
345.00	2.724
346.00	2.676
347.00	2.621
348.00	2.576
349.00	2.524
350.00	2.473
351.00	2.426
352.00	2.380
353.00	2.325
354.00	2.278
355.00	2.225
356.00	2.179
357.00	2.136
358.00	2.092
359.00	2.045
360.00	2.000
361.00	1.959
362.00	1.918
363.00	1.880
364.00	1.839
365.00	1.798
366.00	1.764
367.00	1.723
368.00	1.689
369.00	1.650
370.00	1.613
371.00	1.581
372.00	1.541
373.00	1.509
374.00	1.477
375.00	1.445
376.00	1.414
377.00	1.383
378.00	1.355
379.00	1.326
380.00	1.298
381.00	1.271
382.00	1.244
383.00	1.220
384.00	1.194
385.00	1.171
386.00	1.148
387.00	1.124
388.00	1.101
389.00	1.078
390.00	1.055
391.00	1.036
392.00	1.016
393.00	0.993
394.00	0.975
395.00	0.956
396.00	0.937
397.00	0.920
398.00	0.902
399.00	0.885
400.00	0.866
401.00	0.849
402.00	0.834
403.00	0.821
404.00	0.802
405.00	0.786
406.00	0.773
407.00	0.757
408.00	0.743
409.00	0.729
410.00	0.716
411.00	0.702
412.00	0.688
413.00	0.675
414.00	0.663
415.00	0.653
416.00	0.642
417.00	0.628
418.00	0.618
419.00	0.607
420.00	0.595
421.00	0.585
422.00	0.576
423.00	0.566
424.00	0.556
425.00	0.547
426.00	0.537
427.00	0.527
428.00	0.519
429.00	0.510
430.00	0.502
431.00	0.491
432.00	0.485
433.00	0.474
434.00	0.465
435.00	0.462
436.00	0.451
437.00	0.444
438.00	0.439
439.00	0.428
440.00	0.423
441.00	0.416
442.00	0.411
443.00	0.404
444.00	0.396
445.00	0.390
446.00	0.386
447.00	0.378
448.00	0.372
449.00	0.367
450.00	0.359
451.00	0.353
452.00	0.348
453.00	0.343
454.00	0.336
455.00	0.332
456.00	0.323
457.00	0.318
458.00	0.313
459.00	0.306
460.00	0.301
461.00	0.295
462.00	0.290
463.00	0.284
464.00	0.279
465.00	0.274
466.00	0.269
467.00	0.264
468.00	0.258
469.00	0.253
470.00	0.249
471.00	0.245
472.00	0.239
473.00	0.234
474.00	0.230
475.00	0.226
476.00	0.222
477.00	0.216
478.00	0.212
479.00	0.208
480.00	0.204
481.00	0.203
482.00	0.197
483.00	0.195
484.00	0.191
485.00	0.187
486.00	0.184
487.00	0.181
488.00	0.177
489.00	0.173
490.00	0.172
491.00	0.169
492.00	0.165
493.00	0.162
494.00	0.160
495.00	0.157
496.00	0.153
497.00	0.152
498.00	0.150
499.00	0.147
500.00	0.146
501.00	0.143
502.00	0.141
503.00	0.138
504.00	0.135
505.00	0.133
506.00	0.132
507.00	0.129
508.00	0.127
509.00	0.127
510.00	0.124
511.00	0.122
512.00	0.120
513.00	0.119
514.00	0.116
515.00	0.114
516.00	0.114
517.00	0.112
518.00	0.110
519.00	0.109
520.00	0.108
521.00	0.107
522.00	0.105
523.00	0.103
524.00	0.102
525.00	0.100
526.00	0.099
527.00	0.099
528.00	0.098
529.00	0.096
530.00	0.094
531.00	0.093
532.00	0.091
533.00	0.091
534.00	0.090
535.00	0.088
536.00	0.087
537.00	0.086
538.00	0.086
539.00	0.085
540.00	0.083
541.00	0.083
542.00	0.083
543.00	0.082
544.00	0.080
545.00	0.079
546.00	0.078
547.00	0.077
548.00	0.078
549.00	0.078
550.00	0.077
551.00	0.075
552.00	0.075
553.00	0.073
554.00	0.073
555.00	0.072
556.00	0.071
557.00	0.070
558.00	0.070
559.00	0.069
560.00	0.068
561.00	0.068
562.00	0.068
563.00	0.068
564.00	0.066
565.00	0.065
566.00	0.065
567.00	0.065
568.00	0.061
569.00	0.062
570.00	0.063
571.00	0.061
572.00	0.062
573.00	0.061
574.00	0.060
575.00	0.060
576.00	0.059
577.00	0.059
578.00	0.058
579.00	0.058
580.00	0.058
581.00	0.056
582.00	0.055
583.00	0.053
584.00	0.054
585.00	0.055
586.00	0.053
587.00	0.052
588.00	0.053
589.00	0.052
590.00	0.050
591.00	0.051
592.00	0.050
593.00	0.051
594.00	0.049
595.00	0.048
596.00	0.048
597.00	0.048
598.00	0.047
599.00	0.047
600.00	0.047
601.00	0.048
602.00	0.046
603.00	0.046
604.00	0.045
605.00	0.045
606.00	0.045
607.00	0.044
608.00	0.044
609.00	0.043
610.00	0.043
611.00	0.043
612.00	0.041
613.00	0.043
614.00	0.041
615.00	0.041
616.00	0.042
617.00	0.041
618.00	0.041
619.00	0.039
620.00	0.039
621.00	0.039
622.00	0.039
623.00	0.039
624.00	0.039
625.00	0.038
626.00	0.037
627.00	0.038
628.00	0.037
629.00	0.037
630.00	0.037
631.00	0.036
632.00	0.036
633.00	0.035
634.00	0.036
635.00	0.036
636.00	0.034
637.00	0.035
638.00	0.034
639.00	0.034
640.00	0.033
641.00	0.034
642.00	0.033
643.00	0.033
644.00	0.032
645.00	0.031
646.00	0.032
647.00	0.031
648.00	0.031
649.00	0.032
650.00	0.030
651.00	0.030
652.00	0.030
653.00	0.031
654.00	0.030
655.00	0.030
656.00	0.030
657.00	0.030
658.00	0.029
659.00	0.028
660.00	0.028
661.00	0.028
662.00	0.029
663.00	0.027
664.00	0.027
665.00	0.028
666.00	0.029
667.00	0.026
668.00	0.027
669.00	0.027
670.00	0.026
671.00	0.026
672.00	0.026
673.00	0.026
674.00	0.026
675.00	0.025
676.00	0.026
677.00	0.026
678.00	0.025
679.00	0.026
680.00	0.025
681.00	0.026
682.00	0.025
683.00	0.025
684.00	0.024
685.00	0.024
686.00	0.023
687.00	0.023
688.00	0.024
689.00	0.024
690.00	0.024
691.00	0.022
692.00	0.023
693.00	0.023
694.00	0.022
695.00	0.023
696.00	0.022
697.00	0.023
698.00	0.022
699.00	0.021
700.00	0.023
701.00	0.021
702.00	0.021
703.00	0.020
704.00	0.021
705.00	0.021
706.00	0.021
707.00	0.021
708.00	0.021
709.00	0.021
710.00	0.022
711.00	0.021
712.00	0.019
713.00	0.021
714.00	0.021
715.00	0.020
716.00	0.019
717.00	0.020
718.00	0.020
719.00	0.020
720.00	0.018
721.00	0.019
722.00	0.019
723.00	0.019
724.00	0.018
725.00	0.018
726.00	0.018
727.00	0.019
728.00	0.018
729.00	0.016
730.00	0.016
731.00	0.017
732.00	0.015
733.00	0.017
734.00	0.017
735.00	0.016
736.00	0.017
737.00	0.017
738.00	0.017
739.00	0.017
740.00	0.016
741.00	0.016
742.00	0.015
743.00	0.015
744.00	0.016
745.00	0.015
746.00	0.015
747.00	0.016
748.00	0.015
749.00	0.014
750.00	0.015
751.00	0.015
752.00	0.013
753.00	0.014
754.00	0.014
755.00	0.013
756.00	0.014
757.00	0.013
758.00	0.012
759.00	0.014
760.00	0.012
761.00	0.013
762.00	0.013
763.00	0.013
764.00	0.013
765.00	0.012
766.00	0.012
767.00	0.012
768.00	0.013
769.00	0.012
770.00	0.011
771.00	0.011
772.00	0.013
773.00	0.013
774.00	0.011
775.00	0.011
776.00	0.013
777.00	0.012
778.00	0.011
779.00	0.012
780.00	0.011
781.00	0.010
782.00	0.010
783.00	0.012
784.00	0.012
