Batch	scan005.sre
Evolution 600 288002	100%T Baseline Correction
wiped# Cycle01	08/11/2022 14:31:56PM
nm	A
200.00	XXX.XXX
201.00	4.267
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	4.568
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	6.045
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	5.461
267.00	5.084
268.00	XXX.XXX
269.00	4.565
270.00	XXX.XXX
271.00	XXX.XXX
272.00	4.742
273.00	5.255
274.00	XXX.XXX
275.00	4.021
276.00	XXX.XXX
277.00	4.456
278.00	XXX.XXX
279.00	4.304
280.00	4.972
281.00	XXX.XXX
282.00	4.097
283.00	5.096
284.00	4.150
285.00	4.121
286.00	4.184
287.00	3.788
288.00	4.270
289.00	3.859
290.00	XXX.XXX
291.00	3.949
292.00	3.850
293.00	3.872
294.00	3.667
295.00	3.933
296.00	3.729
297.00	3.874
298.00	3.841
299.00	3.604
300.00	3.768
301.00	3.975
302.00	3.340
303.00	3.872
304.00	3.503
305.00	3.638
306.00	3.882
307.00	3.614
308.00	3.527
309.00	4.080
310.00	3.554
311.00	3.521
312.00	3.305
313.00	3.380
314.00	3.345
315.00	3.349
316.00	3.212
317.00	3.373
318.00	3.081
319.00	3.154
320.00	3.021
321.00	3.180
322.00	3.026
323.00	3.018
324.00	2.987
325.00	2.726
326.00	2.799
