Batch	SentiGlass_14Nov010.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:11:15AM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	XXX.XXX
279.00	XXX.XXX
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	XXX.XXX
284.00	XXX.XXX
285.00	XXX.XXX
286.00	XXX.XXX
287.00	XXX.XXX
288.00	XXX.XXX
289.00	XXX.XXX
290.00	XXX.XXX
291.00	XXX.XXX
292.00	XXX.XXX
293.00	XXX.XXX
294.00	XXX.XXX
295.00	XXX.XXX
296.00	XXX.XXX
297.00	XXX.XXX
298.00	XXX.XXX
299.00	XXX.XXX
300.00	XXX.XXX
301.00	XXX.XXX
302.00	XXX.XXX
303.00	XXX.XXX
304.00	XXX.XXX
305.00	XXX.XXX
306.00	XXX.XXX
307.00	XXX.XXX
308.00	XXX.XXX
309.00	XXX.XXX
310.00	XXX.XXX
311.00	XXX.XXX
312.00	XXX.XXX
313.00	XXX.XXX
314.00	XXX.XXX
315.00	XXX.XXX
316.00	XXX.XXX
317.00	XXX.XXX
318.00	XXX.XXX
319.00	XXX.XXX
320.00	XXX.XXX
321.00	XXX.XXX
322.00	XXX.XXX
323.00	XXX.XXX
324.00	XXX.XXX
325.00	3.578
326.00	3.507
327.00	3.521
328.00	3.560
329.00	3.523
330.00	3.534
331.00	3.514
332.00	3.530
333.00	3.541
334.00	3.550
335.00	3.506
336.00	3.437
337.00	3.381
338.00	3.275
339.00	3.213
340.00	3.083
341.00	2.991
342.00	2.870
343.00	2.755
344.00	2.640
345.00	2.535
346.00	2.420
347.00	2.330
348.00	2.235
349.00	2.157
350.00	2.070
351.00	1.995
352.00	1.913
353.00	1.842
354.00	1.779
355.00	1.713
356.00	1.654
357.00	1.598
358.00	1.550
359.00	1.503
360.00	1.464
361.00	1.425
362.00	1.392
363.00	1.361
364.00	1.336
365.00	1.310
366.00	1.291
367.00	1.269
368.00	1.250
369.00	1.231
370.00	1.216
371.00	1.203
372.00	1.189
373.00	1.178
374.00	1.166
375.00	1.156
376.00	1.151
377.00	1.140
378.00	1.132
379.00	1.120
380.00	1.109
