Batch	SentiGlass_14Nov005.sre
Evolution 600 288002	100%T Baseline Correction
DC_Ref Cycle01	14/11/2022 10:49:42AM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	XXX.XXX
279.00	XXX.XXX
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	XXX.XXX
284.00	XXX.XXX
285.00	XXX.XXX
286.00	XXX.XXX
287.00	XXX.XXX
288.00	XXX.XXX
289.00	XXX.XXX
290.00	XXX.XXX
291.00	XXX.XXX
292.00	XXX.XXX
293.00	XXX.XXX
294.00	XXX.XXX
295.00	XXX.XXX
296.00	XXX.XXX
297.00	XXX.XXX
298.00	XXX.XXX
299.00	XXX.XXX
300.00	XXX.XXX
301.00	XXX.XXX
302.00	XXX.XXX
303.00	XXX.XXX
304.00	XXX.XXX
305.00	XXX.XXX
306.00	XXX.XXX
307.00	XXX.XXX
308.00	XXX.XXX
309.00	XXX.XXX
310.00	XXX.XXX
311.00	XXX.XXX
312.00	XXX.XXX
313.00	XXX.XXX
314.00	XXX.XXX
315.00	XXX.XXX
316.00	XXX.XXX
317.00	XXX.XXX
318.00	XXX.XXX
319.00	XXX.XXX
320.00	XXX.XXX
321.00	XXX.XXX
322.00	XXX.XXX
323.00	XXX.XXX
324.00	XXX.XXX
325.00	XXX.XXX
326.00	XXX.XXX
327.00	XXX.XXX
328.00	XXX.XXX
329.00	XXX.XXX
330.00	XXX.XXX
331.00	XXX.XXX
332.00	XXX.XXX
333.00	XXX.XXX
334.00	XXX.XXX
335.00	XXX.XXX
336.00	XXX.XXX
337.00	XXX.XXX
338.00	XXX.XXX
339.00	XXX.XXX
340.00	XXX.XXX
341.00	XXX.XXX
342.00	XXX.XXX
343.00	XXX.XXX
344.00	XXX.XXX
345.00	XXX.XXX
346.00	XXX.XXX
347.00	XXX.XXX
348.00	XXX.XXX
349.00	XXX.XXX
350.00	XXX.XXX
351.00	XXX.XXX
352.00	XXX.XXX
353.00	XXX.XXX
354.00	XXX.XXX
355.00	XXX.XXX
356.00	XXX.XXX
357.00	XXX.XXX
358.00	XXX.XXX
359.00	XXX.XXX
360.00	XXX.XXX
361.00	XXX.XXX
362.00	XXX.XXX
363.00	XXX.XXX
364.00	XXX.XXX
365.00	XXX.XXX
366.00	XXX.XXX
367.00	XXX.XXX
368.00	XXX.XXX
369.00	XXX.XXX
370.00	XXX.XXX
371.00	XXX.XXX
372.00	XXX.XXX
373.00	XXX.XXX
374.00	XXX.XXX
375.00	XXX.XXX
376.00	XXX.XXX
377.00	XXX.XXX
378.00	XXX.XXX
379.00	XXX.XXX
380.00	XXX.XXX
381.00	XXX.XXX
382.00	XXX.XXX
383.00	XXX.XXX
384.00	XXX.XXX
385.00	XXX.XXX
386.00	XXX.XXX
387.00	XXX.XXX
388.00	XXX.XXX
389.00	XXX.XXX
