Batch	scan004
UV4-200 024715	None
Sample001 Cycle01	11/11/2022 13:55:52PM
nm	A
400.00	0.835
401.00	0.839
402.00	0.837
403.00	0.833
404.00	0.826
405.00	0.823
406.00	0.820
407.00	0.816
408.00	0.812
409.00	0.808
410.00	0.805
411.00	0.801
412.00	0.798
413.00	0.794
414.00	0.790
415.00	0.786
416.00	0.783
417.00	0.779
418.00	0.775
419.00	0.771
420.00	0.767
421.00	0.764
422.00	0.758
423.00	0.755
424.00	0.752
425.00	0.748
426.00	0.744
427.00	0.739
428.00	0.734
429.00	0.731
430.00	0.727
431.00	0.722
432.00	0.719
433.00	0.715
434.00	0.712
435.00	0.707
436.00	0.703
437.00	0.699
438.00	0.694
439.00	0.690
440.00	0.685
441.00	0.682
442.00	0.677
443.00	0.673
444.00	0.669
445.00	0.664
446.00	0.660
447.00	0.657
448.00	0.651
449.00	0.647
450.00	0.642
451.00	0.639
452.00	0.635
453.00	0.630
454.00	0.627
455.00	0.622
456.00	0.617
457.00	0.615
458.00	0.611
459.00	0.606
460.00	0.602
461.00	0.598
462.00	0.594
463.00	0.591
464.00	0.586
465.00	0.583
466.00	0.579
467.00	0.576
468.00	0.572
469.00	0.569
470.00	0.565
471.00	0.562
472.00	0.559
473.00	0.555
474.00	0.552
475.00	0.548
476.00	0.546
477.00	0.541
478.00	0.539
479.00	0.535
480.00	0.533
481.00	0.530
482.00	0.527
483.00	0.524
484.00	0.521
485.00	0.518
486.00	0.515
487.00	0.512
488.00	0.510
489.00	0.507
490.00	0.505
491.00	0.502
492.00	0.499
493.00	0.497
494.00	0.494
495.00	0.492
496.00	0.489
497.00	0.488
498.00	0.484
499.00	0.482
500.00	0.480
501.00	0.477
502.00	0.476
503.00	0.473
504.00	0.471
505.00	0.468
506.00	0.466
507.00	0.464
508.00	0.462
509.00	0.460
510.00	0.457
511.00	0.455
512.00	0.454
513.00	0.452
514.00	0.450
515.00	0.447
516.00	0.445
517.00	0.443
518.00	0.442
519.00	0.440
520.00	0.437
521.00	0.436
522.00	0.434
523.00	0.433
524.00	0.430
525.00	0.428
526.00	0.426
527.00	0.425
528.00	0.423
529.00	0.421
530.00	0.420
531.00	0.418
532.00	0.416
533.00	0.415
534.00	0.412
535.00	0.410
536.00	0.409
537.00	0.408
538.00	0.406
539.00	0.404
540.00	0.402
541.00	0.401
542.00	0.400
543.00	0.399
544.00	0.396
545.00	0.395
546.00	0.394
547.00	0.392
548.00	0.390
549.00	0.389
550.00	0.388
551.00	0.386
552.00	0.385
553.00	0.384
554.00	0.382
555.00	0.380
556.00	0.379
557.00	0.378
558.00	0.376
559.00	0.375
560.00	0.373
561.00	0.373
562.00	0.371
563.00	0.370
564.00	0.369
565.00	0.367
566.00	0.366
567.00	0.365
568.00	0.364
569.00	0.362
