Batch	scan005
UV4-200 024715	None
Sample001 Cycle01	11/11/2022 14:00:23PM
nm	A
300.00	4.620
301.00	4.585
302.00	4.495
303.00	4.387
304.00	4.319
305.00	4.237
306.00	4.081
307.00	3.983
308.00	3.851
309.00	3.730
310.00	3.611
311.00	3.496
312.00	3.400
313.00	3.299
314.00	3.197
315.00	3.106
316.00	3.026
317.00	2.943
318.00	2.873
319.00	2.803
320.00	2.737
321.00	2.679
322.00	2.622
323.00	2.569
324.00	2.519
325.00	2.404
326.00	2.360
327.00	2.320
328.00	2.284
329.00	2.247
330.00	2.214
331.00	2.184
332.00	2.154
333.00	2.123
334.00	2.093
335.00	2.066
336.00	2.038
337.00	2.005
338.00	1.973
339.00	1.941
340.00	1.908
341.00	1.872
342.00	1.836
343.00	1.797
344.00	1.760
345.00	1.720
346.00	1.682
347.00	1.641
348.00	1.600
349.00	1.562
350.00	1.527
351.00	1.488
352.00	1.448
353.00	1.409
354.00	1.372
355.00	1.335
356.00	1.300
357.00	1.266
358.00	1.234
359.00	1.203
360.00	1.173
361.00	1.144
362.00	1.120
363.00	1.096
364.00	1.074
365.00	1.052
366.00	1.034
367.00	1.016
368.00	1.002
369.00	0.988
370.00	0.973
371.00	0.961
372.00	0.950
373.00	0.941
374.00	0.932
375.00	0.924
376.00	0.917
377.00	0.910
378.00	0.903
379.00	0.897
380.00	0.891
381.00	0.886
382.00	0.879
383.00	0.872
384.00	0.866
385.00	0.860
386.00	0.854
387.00	0.848
388.00	0.842
389.00	0.837
390.00	0.833
391.00	0.826
392.00	0.822
393.00	0.818
394.00	0.813
395.00	0.808
396.00	0.804
397.00	0.799
398.00	0.796
399.00	0.793
400.00	0.771
401.00	0.768
402.00	0.764
403.00	0.760
404.00	0.758
405.00	0.753
406.00	0.750
407.00	0.747
408.00	0.743
409.00	0.740
410.00	0.737
411.00	0.734
412.00	0.730
413.00	0.727
414.00	0.724
415.00	0.720
416.00	0.718
417.00	0.713
418.00	0.710
419.00	0.707
420.00	0.703
421.00	0.701
422.00	0.698
423.00	0.694
424.00	0.690
425.00	0.687
426.00	0.683
427.00	0.679
428.00	0.675
429.00	0.672
430.00	0.667
431.00	0.666
432.00	0.661
433.00	0.658
434.00	0.655
435.00	0.651
436.00	0.647
437.00	0.645
438.00	0.640
439.00	0.637
440.00	0.632
441.00	0.629
442.00	0.626
443.00	0.622
444.00	0.616
445.00	0.613
446.00	0.610
447.00	0.606
448.00	0.602
449.00	0.599
450.00	0.596
451.00	0.591
452.00	0.588
453.00	0.583
454.00	0.580
455.00	0.577
456.00	0.573
457.00	0.570
458.00	0.565
459.00	0.563
460.00	0.559
461.00	0.555
462.00	0.551
463.00	0.549
464.00	0.545
465.00	0.541
466.00	0.538
467.00	0.534
468.00	0.531
469.00	0.528
470.00	0.525
471.00	0.521
472.00	0.519
473.00	0.515
474.00	0.512
475.00	0.509
476.00	0.506
477.00	0.504
478.00	0.501
479.00	0.497
480.00	0.495
481.00	0.492
482.00	0.489
483.00	0.487
484.00	0.484
485.00	0.481
486.00	0.478
487.00	0.476
488.00	0.473
489.00	0.470
490.00	0.469
491.00	0.466
492.00	0.463
493.00	0.462
494.00	0.459
495.00	0.457
496.00	0.456
497.00	0.453
498.00	0.450
499.00	0.448
500.00	0.448
501.00	0.444
502.00	0.442
503.00	0.441
504.00	0.438
505.00	0.436
506.00	0.435
507.00	0.432
508.00	0.430
509.00	0.429
510.00	0.426
511.00	0.425
512.00	0.423
513.00	0.421
514.00	0.420
515.00	0.418
516.00	0.415
517.00	0.413
518.00	0.411
519.00	0.410
520.00	0.408
521.00	0.406
522.00	0.405
523.00	0.403
524.00	0.401
525.00	0.399
526.00	0.398
527.00	0.395
528.00	0.394
529.00	0.393
530.00	0.391
531.00	0.390
532.00	0.388
533.00	0.387
534.00	0.385
535.00	0.383
536.00	0.382
537.00	0.380
538.00	0.379
539.00	0.377
540.00	0.376
541.00	0.375
542.00	0.373
543.00	0.372
544.00	0.370
545.00	0.369
546.00	0.368
547.00	0.366
548.00	0.365
549.00	0.364
550.00	0.363
551.00	0.360
552.00	0.360
553.00	0.358
554.00	0.358
555.00	0.356
556.00	0.355
557.00	0.355
558.00	0.353
559.00	0.351
560.00	0.350
561.00	0.348
562.00	0.347
563.00	0.345
564.00	0.344
565.00	0.344
566.00	0.342
567.00	0.341
568.00	0.339
569.00	0.339
570.00	0.339
571.00	0.337
572.00	0.336
573.00	0.335
574.00	0.333
575.00	0.332
576.00	0.332
577.00	0.330
578.00	0.330
579.00	0.328
580.00	0.321
581.00	0.320
582.00	0.319
583.00	0.318
584.00	0.317
585.00	0.317
586.00	0.315
587.00	0.314
588.00	0.314
589.00	0.313
590.00	0.312
591.00	0.310
592.00	0.310
593.00	0.309
594.00	0.308
595.00	0.307
596.00	0.306
597.00	0.306
598.00	0.304
599.00	0.304
600.00	0.303
601.00	0.302
602.00	0.301
603.00	0.301
604.00	0.299
605.00	0.299
606.00	0.298
607.00	0.297
608.00	0.296
609.00	0.296
610.00	0.295
611.00	0.294
612.00	0.294
613.00	0.293
614.00	0.292
615.00	0.292
616.00	0.291
617.00	0.291
618.00	0.289
619.00	0.289
620.00	0.288
621.00	0.288
622.00	0.287
623.00	0.287
624.00	0.286
625.00	0.285
626.00	0.284
627.00	0.284
628.00	0.284
629.00	0.283
630.00	0.283
631.00	0.282
632.00	0.281
633.00	0.281
634.00	0.280
635.00	0.280
636.00	0.279
637.00	0.278
638.00	0.278
639.00	0.278
640.00	0.277
641.00	0.276
642.00	0.276
643.00	0.275
644.00	0.274
645.00	0.274
646.00	0.274
647.00	0.273
648.00	0.273
649.00	0.272
650.00	0.273
651.00	0.271
652.00	0.271
653.00	0.272
654.00	0.270
655.00	0.270
656.00	0.270
657.00	0.269
658.00	0.269
659.00	0.268
660.00	0.268
661.00	0.267
662.00	0.267
663.00	0.267
664.00	0.267
665.00	0.267
666.00	0.266
667.00	0.266
668.00	0.265
669.00	0.265
670.00	0.264
671.00	0.264
672.00	0.264
673.00	0.264
674.00	0.263
675.00	0.263
676.00	0.262
677.00	0.263
678.00	0.263
679.00	0.262
680.00	0.262
681.00	0.262
682.00	0.261
683.00	0.261
684.00	0.261
685.00	0.260
686.00	0.260
687.00	0.260
688.00	0.260
689.00	0.259
690.00	0.260
691.00	0.259
692.00	0.259
693.00	0.259
694.00	0.258
695.00	0.259
696.00	0.258
697.00	0.258
698.00	0.258
699.00	0.258
700.00	0.257
701.00	0.257
702.00	0.258
703.00	0.256
704.00	0.257
705.00	0.256
706.00	0.256
707.00	0.256
708.00	0.255
709.00	0.256
710.00	0.256
711.00	0.256
712.00	0.255
713.00	0.255
714.00	0.255
715.00	0.255
716.00	0.254
717.00	0.255
718.00	0.254
719.00	0.255
720.00	0.254
721.00	0.254
722.00	0.254
723.00	0.254
724.00	0.254
725.00	0.253
726.00	0.253
727.00	0.253
728.00	0.253
729.00	0.254
730.00	0.253
731.00	0.253
732.00	0.254
733.00	0.253
734.00	0.252
735.00	0.252
736.00	0.253
737.00	0.252
738.00	0.252
739.00	0.252
740.00	0.252
741.00	0.252
742.00	0.253
743.00	0.253
744.00	0.253
745.00	0.253
746.00	0.252
747.00	0.252
748.00	0.252
749.00	0.252
750.00	0.252
751.00	0.251
752.00	0.252
753.00	0.251
754.00	0.253
755.00	0.251
