Batch	scan002
UV4-200 024715	None
Sample001 Cycle01	11/11/2022 13:52:03PM
nm	A
400.00	1.139
401.00	1.135
402.00	1.133
403.00	1.131
404.00	1.126
405.00	1.124
406.00	1.121
407.00	1.119
408.00	1.115
409.00	1.114
410.00	1.112
411.00	1.109
412.00	1.108
413.00	1.106
414.00	1.104
415.00	1.101
416.00	1.099
417.00	1.096
418.00	1.095
419.00	1.093
420.00	1.091
421.00	1.089
422.00	1.086
423.00	1.085
424.00	1.083
425.00	1.083
426.00	1.081
427.00	1.078
428.00	1.079
429.00	1.076
430.00	1.075
431.00	1.074
432.00	1.072
433.00	1.072
434.00	1.070
435.00	1.069
436.00	1.068
437.00	1.068
438.00	1.066
439.00	1.066
440.00	1.065
441.00	1.065
442.00	1.064
443.00	1.063
444.00	1.063
445.00	1.063
446.00	1.063
447.00	1.063
448.00	1.062
449.00	1.062
450.00	1.062
451.00	1.063
452.00	1.064
453.00	1.066
454.00	1.065
455.00	1.067
456.00	1.068
457.00	1.069
458.00	1.070
459.00	1.072
460.00	1.073
461.00	1.074
462.00	1.076
463.00	1.078
464.00	1.081
465.00	1.084
466.00	1.085
467.00	1.088
468.00	1.091
469.00	1.094
470.00	1.096
471.00	1.100
472.00	1.103
473.00	1.106
474.00	1.110
475.00	1.115
476.00	1.120
477.00	1.124
478.00	1.129
479.00	1.134
480.00	1.140
481.00	1.146
482.00	1.151
483.00	1.157
484.00	1.164
485.00	1.170
486.00	1.177
487.00	1.184
488.00	1.190
489.00	1.197
490.00	1.204
491.00	1.210
492.00	1.218
493.00	1.225
494.00	1.232
495.00	1.239
496.00	1.246
497.00	1.254
498.00	1.260
499.00	1.269
500.00	1.276
501.00	1.283
502.00	1.290
503.00	1.297
504.00	1.303
505.00	1.310
506.00	1.316
507.00	1.323
508.00	1.329
509.00	1.335
510.00	1.340
511.00	1.346
512.00	1.351
513.00	1.355
514.00	1.359
515.00	1.364
516.00	1.367
517.00	1.369
518.00	1.373
519.00	1.375
520.00	1.378
521.00	1.379
522.00	1.381
523.00	1.383
524.00	1.384
525.00	1.385
526.00	1.386
527.00	1.386
528.00	1.386
529.00	1.387
530.00	1.387
531.00	1.386
532.00	1.386
533.00	1.386
534.00	1.385
535.00	1.385
536.00	1.384
537.00	1.385
538.00	1.385
539.00	1.385
540.00	1.384
541.00	1.383
542.00	1.383
543.00	1.383
544.00	1.382
545.00	1.382
546.00	1.381
547.00	1.380
548.00	1.380
549.00	1.379
550.00	1.379
551.00	1.376
552.00	1.376
553.00	1.374
554.00	1.372
555.00	1.370
556.00	1.369
557.00	1.366
558.00	1.364
559.00	1.362
560.00	1.360
561.00	1.357
562.00	1.354
563.00	1.352
564.00	1.350
565.00	1.347
566.00	1.345
567.00	1.343
568.00	1.341
569.00	1.340
570.00	1.340
571.00	1.336
572.00	1.332
573.00	1.326
574.00	1.321
575.00	1.315
576.00	1.310
577.00	1.304
578.00	1.299
579.00	1.293
580.00	1.496
581.00	1.489
582.00	1.480
583.00	1.470
584.00	1.460
585.00	1.452
586.00	1.441
587.00	1.431
588.00	1.421
589.00	1.412
590.00	1.400
591.00	1.389
592.00	1.379
593.00	1.369
594.00	1.355
595.00	1.343
596.00	1.330
597.00	1.317
598.00	1.303
599.00	1.289
600.00	1.275
601.00	1.263
602.00	1.250
603.00	1.236
604.00	1.223
605.00	1.211
606.00	1.198
607.00	1.185
608.00	1.171
609.00	1.160
610.00	1.147
611.00	1.134
612.00	1.122
613.00	1.110
614.00	1.097
615.00	1.085
616.00	1.073
617.00	1.062
618.00	1.050
619.00	1.039
620.00	1.028
621.00	1.018
622.00	1.005
623.00	0.995
624.00	0.984
625.00	0.974
626.00	0.964
627.00	0.953
628.00	0.943
629.00	0.934
630.00	0.924
631.00	0.914
632.00	0.905
633.00	0.897
634.00	0.886
635.00	0.877
636.00	0.868
637.00	0.861
638.00	0.852
639.00	0.843
640.00	0.835
641.00	0.828
642.00	0.819
643.00	0.811
644.00	0.803
645.00	0.795
646.00	0.787
647.00	0.780
648.00	0.771
649.00	0.764
650.00	0.757
651.00	0.747
652.00	0.741
653.00	0.733
654.00	0.725
655.00	0.717
656.00	0.709
657.00	0.702
658.00	0.694
659.00	0.686
660.00	0.678
661.00	0.671
662.00	0.659
663.00	0.652
664.00	0.645
665.00	0.638
666.00	0.630
667.00	0.622
668.00	0.614
669.00	0.607
670.00	0.598
671.00	0.591
672.00	0.584
673.00	0.577
674.00	0.569
675.00	0.561
676.00	0.553
677.00	0.547
678.00	0.539
679.00	0.531
680.00	0.523
681.00	0.516
682.00	0.510
683.00	0.501
684.00	0.494
685.00	0.488
686.00	0.481
687.00	0.474
688.00	0.467
689.00	0.461
690.00	0.454
691.00	0.447
692.00	0.441
693.00	0.436
694.00	0.430
695.00	0.425
696.00	0.419
697.00	0.414
698.00	0.408
699.00	0.404
700.00	0.398
701.00	0.394
702.00	0.388
703.00	0.383
704.00	0.378
705.00	0.374
706.00	0.368
707.00	0.363
708.00	0.358
709.00	0.354
710.00	0.348
711.00	0.344
712.00	0.340
713.00	0.335
714.00	0.331
715.00	0.327
716.00	0.323
717.00	0.321
718.00	0.316
719.00	0.313
720.00	0.310
721.00	0.308
722.00	0.305
723.00	0.303
724.00	0.300
725.00	0.298
726.00	0.296
727.00	0.294
728.00	0.292
729.00	0.289
730.00	0.288
731.00	0.285
732.00	0.284
733.00	0.281
734.00	0.279
735.00	0.277
736.00	0.274
737.00	0.273
738.00	0.269
739.00	0.267
740.00	0.264
741.00	0.263
742.00	0.260
743.00	0.257
744.00	0.255
745.00	0.253
746.00	0.252
747.00	0.251
748.00	0.249
749.00	0.247
750.00	0.245
751.00	0.246
752.00	0.245
753.00	0.244
754.00	0.243
755.00	0.244
756.00	0.245
757.00	0.244
758.00	0.244
759.00	0.243
760.00	0.243
761.00	0.243
762.00	0.243
763.00	0.241
764.00	0.242
765.00	0.240
766.00	0.239
767.00	0.239
768.00	0.238
769.00	0.237
770.00	0.235
771.00	0.234
772.00	0.233
773.00	0.230
774.00	0.230
775.00	0.229
776.00	0.227
777.00	0.226
778.00	0.224
779.00	0.224
780.00	0.223
781.00	0.221
782.00	0.223
783.00	0.221
784.00	0.221
785.00	0.221
786.00	0.222
787.00	0.223
788.00	0.221
789.00	0.224
790.00	0.223
791.00	0.224
792.00	0.224
793.00	0.226
794.00	0.226
795.00	0.227
796.00	0.227
797.00	0.227
798.00	0.228
799.00	0.228
800.00	0.228
