Batch	deathturmeric.sre
UV4-200 024715	None
Sample001 Cycle01	11/11/2022 14:02:52PM
nm	A
300.00	4.553
301.00	4.481
302.00	4.481
303.00	4.377
304.00	4.319
305.00	4.229
306.00	4.131
307.00	4.036
308.00	3.914
309.00	3.818
310.00	3.721
311.00	3.625
312.00	3.520
313.00	3.423
314.00	3.325
315.00	3.248
316.00	3.161
317.00	3.086
318.00	3.015
319.00	2.952
320.00	2.888
321.00	2.831
322.00	2.774
323.00	2.720
324.00	2.673
325.00	2.574
326.00	2.536
327.00	2.499
328.00	2.463
329.00	2.429
330.00	2.398
331.00	2.369
332.00	2.344
333.00	2.314
334.00	2.290
335.00	2.264
336.00	2.240
337.00	2.213
338.00	2.185
339.00	2.156
340.00	2.119
341.00	2.078
342.00	2.035
343.00	1.987
344.00	1.936
345.00	1.880
346.00	1.825
347.00	1.766
348.00	1.705
349.00	1.643
350.00	1.584
351.00	1.532
352.00	1.473
353.00	1.415
354.00	1.359
355.00	1.305
356.00	1.252
357.00	1.202
358.00	1.156
359.00	1.112
360.00	1.069
361.00	1.029
362.00	0.994
363.00	0.960
364.00	0.929
365.00	0.899
366.00	0.874
367.00	0.852
368.00	0.830
369.00	0.811
370.00	0.791
371.00	0.776
372.00	0.761
373.00	0.747
374.00	0.736
375.00	0.725
376.00	0.715
377.00	0.706
378.00	0.698
379.00	0.689
380.00	0.680
381.00	0.673
382.00	0.664
383.00	0.652
384.00	0.644
385.00	0.638
386.00	0.630
387.00	0.623
388.00	0.616
389.00	0.609
390.00	0.604
391.00	0.596
392.00	0.590
393.00	0.585
394.00	0.580
395.00	0.574
396.00	0.569
397.00	0.564
398.00	0.560
399.00	0.555
400.00	0.543
401.00	0.538
402.00	0.534
403.00	0.532
404.00	0.526
405.00	0.523
406.00	0.519
407.00	0.515
408.00	0.512
409.00	0.507
410.00	0.506
411.00	0.502
412.00	0.500
413.00	0.494
414.00	0.492
415.00	0.489
416.00	0.486
417.00	0.484
418.00	0.481
419.00	0.478
420.00	0.475
421.00	0.472
422.00	0.470
423.00	0.467
424.00	0.463
425.00	0.462
426.00	0.458
427.00	0.454
428.00	0.452
429.00	0.451
430.00	0.446
431.00	0.445
432.00	0.442
433.00	0.440
434.00	0.439
435.00	0.435
436.00	0.432
437.00	0.430
438.00	0.428
439.00	0.427
440.00	0.422
441.00	0.420
442.00	0.419
443.00	0.416
444.00	0.413
445.00	0.411
446.00	0.409
447.00	0.407
448.00	0.404
449.00	0.402
450.00	0.399
451.00	0.398
452.00	0.396
453.00	0.392
454.00	0.390
455.00	0.388
456.00	0.387
457.00	0.385
458.00	0.383
459.00	0.380
460.00	0.377
461.00	0.376
462.00	0.373
463.00	0.373
464.00	0.370
465.00	0.369
466.00	0.367
467.00	0.364
468.00	0.364
469.00	0.361
470.00	0.359
471.00	0.358
472.00	0.356
473.00	0.354
474.00	0.352
475.00	0.351
476.00	0.348
477.00	0.347
478.00	0.345
479.00	0.344
480.00	0.343
481.00	0.342
482.00	0.340
483.00	0.339
484.00	0.337
485.00	0.336
486.00	0.333
487.00	0.333
488.00	0.331
489.00	0.330
490.00	0.330
491.00	0.327
492.00	0.325
493.00	0.325
494.00	0.324
495.00	0.321
496.00	0.321
497.00	0.320
498.00	0.319
499.00	0.317
500.00	0.318
501.00	0.315
502.00	0.315
503.00	0.313
504.00	0.311
505.00	0.311
506.00	0.310
507.00	0.309
508.00	0.308
509.00	0.307
510.00	0.306
511.00	0.305
512.00	0.304
513.00	0.302
514.00	0.302
515.00	0.300
516.00	0.299
