Batch	scan004
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	16/11/2022 09:23:15AM
nm	A
300.00	XXX.XXX
301.00	XXX.XXX
302.00	XXX.XXX
303.00	XXX.XXX
304.00	XXX.XXX
305.00	XXX.XXX
306.00	XXX.XXX
307.00	XXX.XXX
308.00	XXX.XXX
309.00	XXX.XXX
310.00	XXX.XXX
311.00	XXX.XXX
312.00	XXX.XXX
313.00	XXX.XXX
314.00	XXX.XXX
315.00	XXX.XXX
316.00	XXX.XXX
317.00	XXX.XXX
318.00	XXX.XXX
319.00	XXX.XXX
320.00	XXX.XXX
321.00	XXX.XXX
322.00	XXX.XXX
323.00	XXX.XXX
324.00	XXX.XXX
325.00	3.816
326.00	3.732
327.00	3.745
328.00	3.673
329.00	3.707
330.00	3.747
331.00	3.744
332.00	3.759
333.00	3.815
334.00	3.860
335.00	3.852
336.00	3.810
337.00	3.848
338.00	3.812
339.00	3.851
340.00	3.817
341.00	3.869
342.00	3.803
343.00	3.817
344.00	3.820
345.00	3.886
346.00	3.882
347.00	3.861
348.00	3.963
349.00	3.914
350.00	XXX.XXX
351.00	XXX.XXX
352.00	XXX.XXX
353.00	XXX.XXX
354.00	XXX.XXX
355.00	5.021
356.00	4.598
357.00	4.342
358.00	4.199
359.00	3.900
360.00	3.863
361.00	3.783
362.00	3.655
363.00	3.543
364.00	3.447
365.00	3.365
366.00	3.302
367.00	3.222
368.00	3.110
369.00	3.031
370.00	2.953
371.00	2.869
372.00	2.792
373.00	2.704
374.00	2.626
375.00	2.549
376.00	2.470
377.00	2.400
378.00	2.328
379.00	2.256
380.00	2.185
381.00	2.123
382.00	2.059
383.00	1.995
384.00	1.934
385.00	1.869
386.00	1.817
387.00	1.762
388.00	1.706
389.00	1.653
390.00	1.601
391.00	1.551
392.00	1.507
393.00	1.462
394.00	1.423
395.00	1.383
396.00	1.346
397.00	1.312
398.00	1.278
399.00	1.249
400.00	1.219
401.00	1.196
402.00	1.173
403.00	1.150
404.00	1.129
405.00	1.111
406.00	1.094
407.00	1.080
408.00	1.063
409.00	1.054
410.00	1.039
411.00	1.031
412.00	1.019
413.00	1.012
414.00	1.002
415.00	0.997
416.00	0.993
417.00	0.989
418.00	0.985
419.00	0.983
420.00	0.979
421.00	0.979
422.00	0.977
423.00	0.977
424.00	0.978
425.00	0.979
426.00	0.978
427.00	0.980
428.00	0.981
429.00	0.983
430.00	0.985
431.00	0.987
432.00	0.991
433.00	0.992
434.00	0.993
435.00	0.997
436.00	1.000
437.00	1.001
438.00	1.003
439.00	1.007
440.00	1.011
441.00	1.012
442.00	1.018
443.00	1.019
444.00	1.024
445.00	1.025
446.00	1.029
447.00	1.036
448.00	1.040
449.00	1.041
450.00	1.045
451.00	1.050
452.00	1.053
453.00	1.059
454.00	1.063
455.00	1.067
456.00	1.071
457.00	1.080
458.00	1.085
459.00	1.091
460.00	1.097
461.00	1.104
462.00	1.109
463.00	1.117
464.00	1.125
465.00	1.131
466.00	1.140
467.00	1.149
468.00	1.158
469.00	1.167
470.00	1.175
471.00	1.187
472.00	1.198
473.00	1.208
474.00	1.220
475.00	1.231
476.00	1.244
477.00	1.253
478.00	1.268
479.00	1.279
480.00	1.291
481.00	1.304
482.00	1.318
483.00	1.331
484.00	1.345
485.00	1.358
486.00	1.372
487.00	1.389
488.00	1.400
489.00	1.414
490.00	1.428
491.00	1.442
492.00	1.457
493.00	1.470
494.00	1.484
495.00	1.501
496.00	1.515
497.00	1.528
498.00	1.542
499.00	1.555
500.00	1.569
501.00	1.578
502.00	1.592
503.00	1.604
504.00	1.615
505.00	1.626
506.00	1.637
507.00	1.643
508.00	1.654
509.00	1.664
510.00	1.673
511.00	1.683
512.00	1.685
513.00	1.695
514.00	1.698
515.00	1.702
516.00	1.706
517.00	1.707
518.00	1.711
519.00	1.710
520.00	1.712
521.00	1.710
522.00	1.706
523.00	1.705
524.00	1.701
525.00	1.697
526.00	1.692
527.00	1.684
528.00	1.674
529.00	1.667
530.00	1.656
531.00	1.645
532.00	1.634
533.00	1.620
534.00	1.606
535.00	1.594
536.00	1.575
537.00	1.558
538.00	1.543
539.00	1.524
540.00	1.507
541.00	1.487
542.00	1.467
543.00	1.446
544.00	1.426
545.00	1.404
546.00	1.381
547.00	1.361
548.00	1.338
549.00	1.315
550.00	1.292
551.00	1.268
552.00	1.245
553.00	1.219
554.00	1.195
555.00	1.171
556.00	1.145
557.00	1.123
558.00	1.098
559.00	1.074
560.00	1.050
561.00	1.027
562.00	1.003
563.00	0.978
564.00	0.956
565.00	0.933
566.00	0.908
567.00	0.887
568.00	0.863
569.00	0.840
570.00	0.817
571.00	0.797
572.00	0.776
573.00	0.753
574.00	0.732
575.00	0.711
576.00	0.690
577.00	0.672
578.00	0.650
579.00	0.632
580.00	0.613
581.00	0.595
582.00	0.576
583.00	0.561
584.00	0.544
585.00	0.527
586.00	0.512
587.00	0.496
588.00	0.480
589.00	0.469
590.00	0.452
591.00	0.438
592.00	0.425
593.00	0.412
594.00	0.398
595.00	0.387
596.00	0.376
597.00	0.363
598.00	0.353
599.00	0.342
600.00	0.332
601.00	0.323
602.00	0.315
603.00	0.305
604.00	0.296
605.00	0.289
606.00	0.281
607.00	0.273
608.00	0.266
609.00	0.257
610.00	0.253
611.00	0.247
612.00	0.239
613.00	0.234
614.00	0.225
615.00	0.219
616.00	0.215
617.00	0.210
618.00	0.204
619.00	0.199
620.00	0.194
621.00	0.190
622.00	0.184
623.00	0.181
624.00	0.176
625.00	0.169
626.00	0.170
627.00	0.162
628.00	0.160
629.00	0.158
630.00	0.152
631.00	0.150
632.00	0.145
633.00	0.142
634.00	0.139
635.00	0.137
636.00	0.132
637.00	0.128
638.00	0.124
639.00	0.126
640.00	0.119
641.00	0.120
642.00	0.116
643.00	0.114
644.00	0.110
645.00	0.109
646.00	0.105
647.00	0.105
648.00	0.101
649.00	0.102
650.00	0.098
651.00	0.095
652.00	0.095
653.00	0.091
654.00	0.091
655.00	0.091
656.00	0.088
657.00	0.086
658.00	0.085
659.00	0.083
660.00	0.081
661.00	0.079
662.00	0.078
663.00	0.078
664.00	0.076
665.00	0.074
666.00	0.073
667.00	0.072
668.00	0.071
669.00	0.070
670.00	0.070
671.00	0.068
672.00	0.067
673.00	0.066
674.00	0.065
675.00	0.065
676.00	0.063
677.00	0.060
678.00	0.063
679.00	0.059
680.00	0.059
681.00	0.061
682.00	0.057
683.00	0.056
684.00	0.058
685.00	0.055
686.00	0.056
687.00	0.055
688.00	0.056
689.00	0.053
690.00	0.054
691.00	0.051
692.00	0.052
693.00	0.049
694.00	0.050
695.00	0.052
696.00	0.050
697.00	0.048
698.00	0.049
699.00	0.048
700.00	0.046
701.00	0.048
702.00	0.047
703.00	0.048
704.00	0.046
705.00	0.045
706.00	0.044
707.00	0.044
708.00	0.044
709.00	0.043
710.00	0.042
711.00	0.044
712.00	0.042
713.00	0.042
714.00	0.041
715.00	0.041
716.00	0.041
717.00	0.040
718.00	0.040
719.00	0.040
720.00	0.039
721.00	0.039
722.00	0.039
723.00	0.039
724.00	0.039
725.00	0.038
726.00	0.037
727.00	0.039
728.00	0.038
729.00	0.039
730.00	0.035
731.00	0.038
732.00	0.037
733.00	0.037
734.00	0.036
735.00	0.035
736.00	0.037
737.00	0.033
738.00	0.036
739.00	0.035
740.00	0.034
741.00	0.035
742.00	0.037
743.00	0.033
744.00	0.033
745.00	0.032
746.00	0.035
747.00	0.031
748.00	0.032
749.00	0.032
750.00	0.034
751.00	0.033
752.00	0.031
753.00	0.031
754.00	0.032
755.00	0.031
756.00	0.031
757.00	0.032
758.00	0.033
759.00	0.030
760.00	0.030
761.00	0.029
762.00	0.031
763.00	0.031
764.00	0.030
765.00	0.029
766.00	0.030
767.00	0.029
768.00	0.029
769.00	0.028
770.00	0.028
771.00	0.030
772.00	0.030
