Batch	scan005
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	16/11/2022 09:32:30AM
nm	A
300.00	XXX.XXX
301.00	XXX.XXX
302.00	XXX.XXX
303.00	XXX.XXX
304.00	XXX.XXX
305.00	XXX.XXX
306.00	XXX.XXX
307.00	XXX.XXX
308.00	XXX.XXX
309.00	4.837
310.00	4.758
311.00	4.370
312.00	4.369
313.00	4.471
314.00	3.912
315.00	3.841
316.00	3.777
317.00	3.775
318.00	3.752
319.00	3.633
320.00	3.571
321.00	3.557
322.00	3.518
323.00	3.418
324.00	3.344
325.00	2.990
326.00	2.956
327.00	2.921
328.00	2.929
329.00	2.886
330.00	2.845
331.00	2.813
332.00	2.786
333.00	2.749
334.00	2.718
335.00	2.682
336.00	2.654
337.00	2.602
338.00	2.578
339.00	2.538
340.00	2.496
341.00	2.454
342.00	2.423
343.00	2.382
344.00	2.344
345.00	2.307
346.00	2.262
347.00	2.222
348.00	2.185
349.00	2.143
350.00	2.125
351.00	2.081
352.00	2.039
353.00	1.997
354.00	1.961
355.00	1.917
356.00	1.881
357.00	1.845
358.00	1.804
359.00	1.773
360.00	1.741
361.00	1.707
362.00	1.672
363.00	1.640
364.00	1.607
365.00	1.576
366.00	1.549
367.00	1.518
368.00	1.489
369.00	1.459
370.00	1.432
371.00	1.403
372.00	1.377
373.00	1.348
374.00	1.321
375.00	1.295
376.00	1.270
377.00	1.243
378.00	1.222
379.00	1.196
380.00	1.175
381.00	1.152
382.00	1.131
383.00	1.110
384.00	1.088
385.00	1.066
386.00	1.049
387.00	1.029
388.00	1.009
389.00	0.990
390.00	0.969
391.00	0.952
392.00	0.935
393.00	0.917
394.00	0.902
395.00	0.884
396.00	0.867
397.00	0.854
398.00	0.837
399.00	0.824
400.00	0.807
401.00	0.795
402.00	0.782
403.00	0.767
404.00	0.755
405.00	0.742
406.00	0.731
407.00	0.718
408.00	0.705
409.00	0.697
410.00	0.682
411.00	0.674
412.00	0.661
413.00	0.649
414.00	0.635
415.00	0.627
416.00	0.618
417.00	0.607
418.00	0.600
419.00	0.591
420.00	0.583
421.00	0.575
422.00	0.565
423.00	0.558
424.00	0.552
425.00	0.544
426.00	0.537
427.00	0.529
428.00	0.521
429.00	0.514
430.00	0.509
431.00	0.500
432.00	0.496
433.00	0.486
434.00	0.481
435.00	0.476
436.00	0.471
437.00	0.465
438.00	0.459
439.00	0.454
440.00	0.448
441.00	0.442
442.00	0.439
443.00	0.433
444.00	0.430
445.00	0.422
446.00	0.419
447.00	0.416
448.00	0.413
449.00	0.405
450.00	0.401
451.00	0.397
452.00	0.393
453.00	0.390
454.00	0.386
455.00	0.382
456.00	0.377
457.00	0.374
458.00	0.370
459.00	0.365
460.00	0.363
461.00	0.358
462.00	0.355
463.00	0.354
464.00	0.349
465.00	0.344
466.00	0.343
467.00	0.338
468.00	0.336
469.00	0.333
470.00	0.328
471.00	0.329
472.00	0.324
473.00	0.321
474.00	0.317
475.00	0.316
476.00	0.313
477.00	0.305
478.00	0.307
479.00	0.303
480.00	0.298
481.00	0.295
482.00	0.295
483.00	0.290
484.00	0.289
485.00	0.284
486.00	0.282
487.00	0.283
488.00	0.279
489.00	0.277
490.00	0.274
491.00	0.271
492.00	0.270
493.00	0.266
494.00	0.261
495.00	0.263
496.00	0.260
497.00	0.257
498.00	0.257
499.00	0.251
500.00	0.252
501.00	0.248
502.00	0.247
503.00	0.244
504.00	0.242
505.00	0.241
506.00	0.238
507.00	0.236
508.00	0.233
509.00	0.232
510.00	0.231
511.00	0.230
512.00	0.227
513.00	0.228
514.00	0.223
515.00	0.222
516.00	0.220
517.00	0.217
518.00	0.218
519.00	0.215
520.00	0.214
521.00	0.214
522.00	0.209
523.00	0.208
524.00	0.207
525.00	0.206
526.00	0.205
527.00	0.203
528.00	0.201
529.00	0.202
530.00	0.199
531.00	0.199
532.00	0.196
533.00	0.195
534.00	0.193
535.00	0.194
536.00	0.190
537.00	0.188
538.00	0.189
539.00	0.186
540.00	0.188
541.00	0.184
542.00	0.185
543.00	0.183
544.00	0.180
545.00	0.179
546.00	0.178
547.00	0.177
548.00	0.177
549.00	0.175
550.00	0.174
551.00	0.173
552.00	0.172
553.00	0.170
554.00	0.172
555.00	0.169
556.00	0.169
557.00	0.168
558.00	0.166
559.00	0.166
560.00	0.165
561.00	0.166
562.00	0.164
563.00	0.160
564.00	0.163
565.00	0.161
566.00	0.157
567.00	0.159
568.00	0.158
569.00	0.156
570.00	0.154
571.00	0.156
572.00	0.155
573.00	0.153
574.00	0.153
575.00	0.150
576.00	0.150
577.00	0.149
578.00	0.149
579.00	0.147
580.00	0.147
581.00	0.147
582.00	0.145
583.00	0.144
584.00	0.143
585.00	0.143
586.00	0.142
587.00	0.141
588.00	0.143
589.00	0.143
590.00	0.141
591.00	0.138
592.00	0.139
593.00	0.137
594.00	0.136
595.00	0.137
596.00	0.137
597.00	0.132
598.00	0.133
599.00	0.132
600.00	0.131
601.00	0.134
602.00	0.131
603.00	0.129
604.00	0.130
605.00	0.131
606.00	0.128
607.00	0.128
608.00	0.126
609.00	0.125
610.00	0.127
611.00	0.127
612.00	0.126
613.00	0.127
614.00	0.121
615.00	0.122
616.00	0.123
617.00	0.123
618.00	0.122
619.00	0.121
620.00	0.119
621.00	0.121
622.00	0.120
623.00	0.119
624.00	0.117
625.00	0.115
626.00	0.119
627.00	0.116
628.00	0.115
629.00	0.116
630.00	0.114
631.00	0.117
632.00	0.113
633.00	0.114
634.00	0.113
635.00	0.111
636.00	0.110
637.00	0.108
638.00	0.110
639.00	0.111
640.00	0.108
641.00	0.111
642.00	0.108
643.00	0.109
644.00	0.107
645.00	0.105
646.00	0.104
647.00	0.107
648.00	0.105
649.00	0.107
650.00	0.104
651.00	0.102
652.00	0.103
653.00	0.101
654.00	0.104
655.00	0.104
656.00	0.103
657.00	0.103
658.00	0.101
659.00	0.100
660.00	0.101
661.00	0.099
662.00	0.099
663.00	0.098
664.00	0.098
665.00	0.098
666.00	0.098
667.00	0.096
668.00	0.096
669.00	0.096
670.00	0.096
671.00	0.097
672.00	0.097
673.00	0.096
674.00	0.095
675.00	0.096
676.00	0.094
677.00	0.092
678.00	0.095
679.00	0.091
680.00	0.092
681.00	0.093
682.00	0.090
683.00	0.089
684.00	0.092
685.00	0.092
686.00	0.089
687.00	0.090
688.00	0.091
689.00	0.087
690.00	0.090
691.00	0.089
692.00	0.088
693.00	0.085
694.00	0.090
695.00	0.087
696.00	0.088
697.00	0.085
698.00	0.087
699.00	0.086
700.00	0.085
701.00	0.086
702.00	0.086
703.00	0.086
704.00	0.085
705.00	0.082
706.00	0.082
707.00	0.085
708.00	0.084
709.00	0.081
710.00	0.081
711.00	0.084
712.00	0.082
713.00	0.081
714.00	0.081
715.00	0.081
716.00	0.080
717.00	0.081
718.00	0.081
719.00	0.079
720.00	0.079
721.00	0.079
722.00	0.079
723.00	0.079
724.00	0.078
725.00	0.076
726.00	0.079
727.00	0.079
728.00	0.079
729.00	0.077
730.00	0.075
731.00	0.080
732.00	0.076
733.00	0.078
734.00	0.077
735.00	0.075
736.00	0.075
737.00	0.074
738.00	0.076
739.00	0.075
740.00	0.074
741.00	0.074
742.00	0.076
743.00	0.073
744.00	0.073
745.00	0.072
746.00	0.075
747.00	0.073
748.00	0.071
749.00	0.072
750.00	0.073
751.00	0.072
752.00	0.072
753.00	0.070
754.00	0.071
755.00	0.070
756.00	0.070
757.00	0.071
758.00	0.072
759.00	0.069
760.00	0.068
761.00	0.068
762.00	0.069
763.00	0.070
764.00	0.069
765.00	0.068
766.00	0.069
767.00	0.067
768.00	0.067
769.00	0.068
770.00	0.068
771.00	0.068
772.00	0.070
773.00	0.066
774.00	0.066
775.00	0.068
776.00	0.068
777.00	0.067
778.00	0.065
779.00	0.067
780.00	0.065
781.00	0.065
782.00	0.066
783.00	0.062
784.00	0.064
785.00	0.065
786.00	0.065
787.00	0.066
788.00	0.064
789.00	0.064
790.00	0.064
791.00	0.065
792.00	0.065
793.00	0.061
794.00	0.066
795.00	0.063
796.00	0.064
797.00	0.063
798.00	0.063
799.00	0.063
800.00	0.064
