Batch	scan002.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	08/11/2022 14:21:45PM
nm	A
200.00	XXX.XXX
201.00	XXX.XXX
202.00	XXX.XXX
203.00	XXX.XXX
204.00	XXX.XXX
205.00	XXX.XXX
206.00	XXX.XXX
207.00	XXX.XXX
208.00	XXX.XXX
209.00	XXX.XXX
210.00	XXX.XXX
211.00	XXX.XXX
212.00	XXX.XXX
213.00	XXX.XXX
214.00	XXX.XXX
215.00	XXX.XXX
216.00	XXX.XXX
217.00	XXX.XXX
218.00	XXX.XXX
219.00	XXX.XXX
220.00	XXX.XXX
221.00	XXX.XXX
222.00	XXX.XXX
223.00	XXX.XXX
224.00	XXX.XXX
225.00	XXX.XXX
226.00	XXX.XXX
227.00	XXX.XXX
228.00	XXX.XXX
229.00	XXX.XXX
230.00	XXX.XXX
231.00	XXX.XXX
232.00	XXX.XXX
233.00	XXX.XXX
234.00	XXX.XXX
235.00	XXX.XXX
236.00	XXX.XXX
237.00	XXX.XXX
238.00	XXX.XXX
239.00	XXX.XXX
240.00	XXX.XXX
241.00	XXX.XXX
242.00	XXX.XXX
243.00	XXX.XXX
244.00	XXX.XXX
245.00	XXX.XXX
246.00	XXX.XXX
247.00	XXX.XXX
248.00	XXX.XXX
249.00	XXX.XXX
250.00	XXX.XXX
251.00	XXX.XXX
252.00	XXX.XXX
253.00	XXX.XXX
254.00	XXX.XXX
255.00	XXX.XXX
256.00	XXX.XXX
257.00	XXX.XXX
258.00	XXX.XXX
259.00	XXX.XXX
260.00	XXX.XXX
261.00	XXX.XXX
262.00	XXX.XXX
263.00	XXX.XXX
264.00	XXX.XXX
265.00	XXX.XXX
266.00	XXX.XXX
267.00	XXX.XXX
268.00	XXX.XXX
269.00	XXX.XXX
270.00	XXX.XXX
271.00	XXX.XXX
272.00	XXX.XXX
273.00	XXX.XXX
274.00	XXX.XXX
275.00	XXX.XXX
276.00	XXX.XXX
277.00	XXX.XXX
278.00	XXX.XXX
279.00	4.559
280.00	XXX.XXX
281.00	XXX.XXX
282.00	XXX.XXX
283.00	4.529
284.00	4.565
285.00	4.388
286.00	4.716
287.00	4.299
288.00	4.694
289.00	4.103
290.00	4.628
291.00	XXX.XXX
292.00	3.907
293.00	4.081
294.00	4.787
295.00	4.337
296.00	4.283
297.00	4.187
298.00	4.074
299.00	4.258
300.00	3.762
301.00	4.054
302.00	3.765
303.00	3.637
304.00	3.733
305.00	3.583
306.00	3.378
307.00	3.460
308.00	3.221
309.00	3.173
310.00	3.090
311.00	2.983
312.00	2.948
313.00	2.852
314.00	2.752
315.00	2.669
316.00	2.610
317.00	2.545
318.00	2.466
319.00	2.438
320.00	2.350
321.00	2.305
322.00	2.246
323.00	2.223
324.00	2.185
325.00	2.027
326.00	2.009
327.00	1.963
328.00	1.952
329.00	1.922
330.00	1.886
331.00	1.866
332.00	1.844
333.00	1.816
334.00	1.793
335.00	1.776
336.00	1.743
337.00	1.720
338.00	1.687
339.00	1.655
340.00	1.625
341.00	1.593
342.00	1.552
343.00	1.513
344.00	1.471
345.00	1.430
346.00	1.388
347.00	1.338
348.00	1.292
349.00	1.245
350.00	1.197
351.00	1.147
352.00	1.102
353.00	1.054
354.00	1.009
355.00	0.970
356.00	0.931
357.00	0.892
358.00	0.855
359.00	0.820
360.00	0.791
361.00	0.762
362.00	0.735
363.00	0.713
364.00	0.690
365.00	0.673
366.00	0.656
367.00	0.636
368.00	0.623
369.00	0.607
370.00	0.595
371.00	0.584
372.00	0.575
373.00	0.564
374.00	0.556
375.00	0.549
376.00	0.540
377.00	0.532
378.00	0.527
379.00	0.518
380.00	0.513
381.00	0.506
382.00	0.499
383.00	0.493
384.00	0.486
385.00	0.479
386.00	0.473
387.00	0.469
388.00	0.464
389.00	0.458
390.00	0.453
391.00	0.449
392.00	0.445
393.00	0.438
394.00	0.438
395.00	0.431
396.00	0.428
397.00	0.423
398.00	0.420
399.00	0.417
400.00	0.413
401.00	0.413
402.00	0.410
403.00	0.404
404.00	0.405
405.00	0.401
406.00	0.396
407.00	0.393
408.00	0.392
409.00	0.389
410.00	0.387
411.00	0.385
412.00	0.380
413.00	0.377
414.00	0.373
415.00	0.371
416.00	0.371
417.00	0.369
418.00	0.362
419.00	0.366
420.00	0.362
421.00	0.358
422.00	0.355
423.00	0.354
424.00	0.351
425.00	0.348
426.00	0.352
427.00	0.345
428.00	0.347
429.00	0.342
430.00	0.343
431.00	0.338
432.00	0.337
433.00	0.334
434.00	0.332
435.00	0.335
436.00	0.331
437.00	0.328
438.00	0.325
439.00	0.323
440.00	0.325
441.00	0.322
442.00	0.322
443.00	0.315
444.00	0.314
445.00	0.314
446.00	0.314
447.00	0.312
448.00	0.310
449.00	0.307
450.00	0.306
451.00	0.303
452.00	0.305
453.00	0.300
454.00	0.300
455.00	0.299
456.00	0.298
457.00	0.298
458.00	0.292
459.00	0.293
460.00	0.293
461.00	0.287
462.00	0.289
463.00	0.286
464.00	0.287
465.00	0.286
466.00	0.286
467.00	0.282
468.00	0.282
469.00	0.278
470.00	0.277
471.00	0.277
472.00	0.275
473.00	0.272
474.00	0.271
475.00	0.271
476.00	0.272
477.00	0.269
478.00	0.269
479.00	0.266
480.00	0.266
481.00	0.265
482.00	0.263
483.00	0.264
484.00	0.261
485.00	0.260
486.00	0.259
487.00	0.258
488.00	0.256
489.00	0.257
490.00	0.253
491.00	0.256
492.00	0.252
493.00	0.254
494.00	0.254
495.00	0.253
496.00	0.250
497.00	0.251
498.00	0.248
499.00	0.249
500.00	0.247
501.00	0.246
502.00	0.246
503.00	0.245
504.00	0.243
505.00	0.243
506.00	0.243
507.00	0.241
508.00	0.242
509.00	0.240
510.00	0.240
511.00	0.237
512.00	0.239
513.00	0.237
514.00	0.239
515.00	0.235
516.00	0.234
517.00	0.235
518.00	0.236
519.00	0.233
520.00	0.235
521.00	0.233
522.00	0.231
523.00	0.232
524.00	0.232
525.00	0.229
526.00	0.232
527.00	0.230
528.00	0.229
529.00	0.228
530.00	0.226
531.00	0.223
532.00	0.227
533.00	0.226
534.00	0.225
535.00	0.226
536.00	0.223
537.00	0.223
538.00	0.222
539.00	0.221
540.00	0.222
541.00	0.221
542.00	0.224
543.00	0.219
544.00	0.220
545.00	0.223
546.00	0.218
547.00	0.220
548.00	0.219
549.00	0.219
550.00	0.216
551.00	0.216
552.00	0.217
553.00	0.215
554.00	0.212
555.00	0.216
556.00	0.215
557.00	0.213
558.00	0.213
559.00	0.212
560.00	0.210
561.00	0.211
562.00	0.211
563.00	0.209
564.00	0.209
565.00	0.209
566.00	0.208
567.00	0.208
568.00	0.207
569.00	0.208
570.00	0.208
571.00	0.208
572.00	0.207
573.00	0.206
574.00	0.209
575.00	0.205
576.00	0.206
577.00	0.205
578.00	0.203
579.00	0.205
580.00	0.203
581.00	0.204
582.00	0.202
583.00	0.200
584.00	0.200
585.00	0.201
586.00	0.201
587.00	0.199
588.00	0.201
589.00	0.200
590.00	0.199
591.00	0.201
592.00	0.199
593.00	0.198
594.00	0.198
595.00	0.196
596.00	0.199
597.00	0.197
598.00	0.196
599.00	0.195
600.00	0.195
